core	module	index	n	age_min_kyr	age_max_kyr	mean	median	sd	iqr	spearman_rho_age	spearman_p_age	scope	group_level	state	state_label	spearman_q_age
ST8	leiden1	OAP	111	1.5215	107.683	507.533639029121	572.198188507552	224.047860675488	126.079149969491	-0.142221578720124	0.136483280091351	sample_module	core			0.254768789503856
ST8	leiden2	OAP	114	1.5215	107.683	579.395395450431	578.876801885074	54.6966613468773	39.8656253294463	-0.0523157739126929	0.580398661620017	sample_module	core			0.625044712513864
ST8	leiden3	OAP	115	1.5215	107.683	417.147461010384	422.380323125151	158.42664980104	187.784857454818	-0.610692022409848	4.2683439127408e-13	sample_module	core			5.97568147783712e-12
ST8	leiden4	OAP	115	1.5215	107.683	384.77062224798	404.852921300629	92.8853340613342	110.883888013281	-0.470875088771404	1.09199419560227e-07	sample_module	core			1.01919458256212e-06
ST8	grey	OAP	103	1.5215	107.683	403.435117496829	473.835023923445	247.602439502336	443.934666086554	-0.425061506429008	7.62660455651918e-06	sample_module	core			5.33862318956343e-05
ST8	leiden5	OAP	112	1.5215	107.683	172.314344766998	235.796636338715	256.304069172864	446.453686949315	-0.662948030204667	1.68119456300662e-15	sample_module	core			4.70734477641854e-14
ST8	leiden6	OAP	77	1.5215	97.52	499.283057658321	497.446637426901	151.791391159854	182.352945696983	0.133037986146545	0.248727838936739	sample_module	core			0.316562704101304
ST13	leiden3	OAP	48	5.659	148.086	522.82989700853	574.69232708877	155.389632742318	229.504902876227	-0.502822405557968	0.000270277111068377	sample_module	core			0.00126129318498576
ST13	leiden4	OAP	48	5.659	148.086	344.6994585684	372.640447217839	89.2862584707942	89.01003652659	-0.426508901432914	0.00250375944287063	sample_module	core			0.00701052644003776
ST13	leiden2	OAP	48	5.659	148.086	592.690268172618	594.415858296631	32.6491612619393	44.791988886785	0.460269214068606	0.000996033639396543	sample_module	core			0.0034861177378879
ST13	leiden5	OAP	46	5.659	148.086	374.393954535342	381.906078083407	205.655842559265	234.202345549154	0.0490286771507863	0.74626210989882	sample_module	core			0.77390144730248
ST13	leiden1	OAP	48	5.659	148.086	524.662351877639	554.342435919548	166.025883202307	87.7048118749912	-0.00358228397742076	0.980721288296119	sample_module	core			0.980721288296119
ST13	leiden6	OAP	40	5.659	148.086	581.168700509816	603.754582127746	187.04542028732	293.391287138797	0.531267839832466	0.000419849248438186	sample_module	core			0.00167939699375274
ST13	grey	OAP	39	5.659	148.086	515.130513889264	532.665706051873	185.796909859896	196.065005200435	-0.197388400646857	0.228404891243829	sample_module	core			0.304539854991773
GeoB25202_R1	leiden2	OAP	26	0.692	147.206	567.837961369335	578.482501504578	51.1041218373579	58.4827482920787	0.317606837606838	0.113857676462497	sample_module	core			0.245231918534608
GeoB25202_R1	leiden3	OAP	26	0.692	147.206	438.497299925901	439.039163790692	144.867758914995	170.166994457818	-0.59042735042735	0.0014965115450165	sample_module	core			0.00465581369560688
GeoB25202_R1	leiden4	OAP	26	0.692	147.206	352.087881503519	339.453547504424	59.4821507913427	62.5743110339062	-0.31008547008547	0.123157520847805	sample_module	core			0.246315041695609
GeoB25202_R1	leiden5	OAP	25	0.692	147.206	221.935214584239	218.994310182291	150.023371226151	196.944628202584	-0.289230769230769	0.160826087669345	sample_module	core			0.267244708398309
GeoB25202_R1	leiden6	OAP	18	0.692	136.2775	556.846491405508	602.385297057639	209.402495974938	214.856896043546	0.301497200736096	0.224039639127182	sample_module	core			0.304539854991773
GeoB25202_R1	leiden1	OAP	26	0.692	147.206	532.869777676176	533.058616175649	79.7812067861413	81.4733497950618	0.336068376068376	0.0932363736989654	sample_module	core			0.217551538630919
GeoB25202_R1	grey	OAP	23	2.324	147.206	368.620161388988	551.748318584071	340.476809159016	386.266381632654	0.126482213438735	0.565238672318726	sample_module	core			0.625044712513864
GeoB25202_R2	leiden3	OAP	25	0.692	147.206	464.584852900107	426.972727125858	129.639419039509	209.579709697578	-0.706923076923077	7.79313617994793e-05	sample_module	core			0.000436415626077084
GeoB25202_R2	leiden4	OAP	25	0.692	147.206	350.531451655775	344.034580115892	57.4032627366843	40.428051658985	-0.173076923076923	0.408038010404063	sample_module	core			0.496741925709294
GeoB25202_R2	leiden2	OAP	25	0.692	147.206	578.791421892907	567.810354389451	45.6973140358929	62.832627335075	0.275384615384615	0.182740799053697	sample_module	core			0.269302230184395
GeoB25202_R2	leiden6	OAP	20	0.692	136.2775	540.060478055314	564.433536585366	200.453248378098	143.064086778851	0.415350004713418	0.0685781370676254	sample_module	core			0.174562530717592
GeoB25202_R2	grey	OAP	23	0.692	147.206	388.143543371839	544.030490777793	291.721010998863	260.523673782046	0.301383399209486	0.162255715813259	sample_module	core			0.267244708398309
GeoB25202_R2	leiden5	OAP	25	0.692	147.206	287.992174730916	286.695395865068	188.400142211256	178.29046375373	-0.276923076923077	0.180208938579017	sample_module	core			0.269302230184395
GeoB25202_R2	leiden1	OAP	24	0.692	147.206	496.958146334173	505.417512498447	122.312035557983	83.5371813036317	0.148695652173913	0.488033799550725	sample_module	core			0.569372766142512
ST8	leiden1	MGI	111	1.5215	107.683	-13.2097468280352	-13.8155105579643	2.55191658121161	0	-0.200772159327155	0.0346105639557703	sample_module	core			0.0415326767469243
ST8	leiden2	MGI	114	1.5215	107.683	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST8	leiden3	MGI	115	1.5215	107.683	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST8	leiden4	MGI	115	1.5215	107.683	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST8	grey	MGI	103	1.5215	107.683	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST8	leiden5	MGI	112	1.5215	107.683	-12.4106942430917	-13.8155105579643	3.90574903834027	0	-0.315257412978426	0.000709946442885091	sample_module	core			0.0038389434680105
ST8	leiden6	MGI	81	1.5215	104.692	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST13	leiden3	MGI	48	5.659	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST13	leiden4	MGI	48	5.659	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST13	leiden2	MGI	48	5.659	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST13	leiden5	MGI	46	5.659	148.086	-11.2805299688214	-13.8155105579643	4.87359689107156	0	-0.460521467734156	0.00127964782267017	sample_module	core			0.0038389434680105
ST13	leiden1	MGI	48	5.659	148.086	-12.6496434670483	-13.8155105579643	3.45836087664135	0	-0.293986639013364	0.0425427060680186	sample_module	core			0.0425427060680186
ST13	leiden6	MGI	40	5.659	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST13	grey	MGI	41	5.659	148.086	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R1	leiden2	MGI	26	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R1	leiden3	MGI	26	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R1	leiden4	MGI	26	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R1	leiden5	MGI	25	0.692	147.206	-12.5191960335526	-13.8155105579643	3.58700566380519	0	-0.508130060600299	0.00950467331052941	sample_module	core			0.0190093466210588
GeoB25202_R1	leiden6	MGI	19	0.692	136.2775	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R1	leiden1	MGI	26	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R1	grey	MGI	24	2.324	147.206	-13.2066974277991	-13.8155105579643	2.98256303522258	0			sample_module	core			
GeoB25202_R2	leiden3	MGI	25	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R2	leiden4	MGI	25	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R2	leiden2	MGI	25	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R2	leiden6	MGI	20	0.692	136.2775	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R2	grey	MGI	23	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
GeoB25202_R2	leiden5	MGI	25	0.692	147.206	-12.944841985488	-13.8155105579643	3.01460024165557	0	-0.428186895051702	0.0327285919233583	sample_module	core			0.0415326767469243
GeoB25202_R2	leiden1	MGI	24	0.692	147.206	-13.8155105579643	-13.8155105579643	0	0			sample_module	core			
ST8	leiden1	MFI	111	1.5215	107.683	-0.605763729929109	0	2.55191658121161	0	0.200772159327155	0.03461056395577	sample_module	core			0.0638140591020279
ST8	leiden2	MFI	114	1.5215	107.683	0	0	0	0			sample_module	core			
ST8	leiden3	MFI	115	1.5215	107.683	0	0	0	0			sample_module	core			
ST8	leiden4	MFI	115	1.5215	107.683	0	0	0	0			sample_module	core			
