taxon	n_samples_non_damaged	total_reads_non_damaged	has_comp	has_ko	oap_v3	n_classes	dominant_class	o2_eff	so4_eff	ch4_eff	no3_eff	has_oap	light_filter_rule
S__2004178001_1	55	43858	TRUE	TRUE	20.4444444444444	4	O2	0.25	1	0.5	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000116_29	4	976	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000116_5	10	2691	TRUE	TRUE	666.666666666667	2	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000119_8	1	206	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000124_6	30	18125	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000124_8	12	2165	TRUE	FALSE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000136_7	1	196	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000144_1	1	210	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000146_15	2	964	TRUE	TRUE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000169_14	6	814	TRUE	TRUE	712.727272727273	3	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000169_7	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000200_6	1	216	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000201_3	3	449	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000208_26	5	1862	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000212_12	14	10944	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000214_4	31	12578	TRUE	TRUE	347.428571428571	3	NO3	0	0	0.333333333333333	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000226_10	3	440	TRUE	TRUE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300000324_13	1	281	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000792_9	6	781	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300000980_9	2	1050	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001683_13	14	4787	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001683_29	1	117	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001683_37	10	29208	TRUE	TRUE	-28	2	ANX	0	0.666666666666667	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300001782_18	180	225006	TRUE	FALSE	-244	1	CH4	0	0	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300001782_26	166	1073856	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001782_31	66	46193	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300001835_22	2	247	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300002037_4	2	2079	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300002039_13	1	172	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300002239_5	177	449501	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300002544_11	1	184	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300002922_2	6	2193	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300003129_2	31	24090	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300003894_27	3	407	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300004097_32	1	105	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300004264_4	5	3419	TRUE	TRUE	691.111111111111	2	O2	1	0	0	1.25	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300004626_1	6	4722	TRUE	TRUE	147.090909090909	3	NO3	0	1	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300004630_4	39	110639	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300004632_4	65	224083	TRUE	TRUE	691.111111111111	2	O2	1	0	0	1.25	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005043_11	1	485	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005043_6	7	1292	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005043_8	6	8214	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005056_12	17	15270	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_12	155	270132	TRUE	TRUE	-231.727272727273	2	SO4	0	0.333333333333333	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_14	3	254972	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_23	70	118674	TRUE	TRUE	-217	1	SO4	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_25	196	2619122	TRUE	FALSE	-244	1	CH4	0	0	0.333333333333333	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005253_9	3	4184	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005286_44	1	222	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005288_13	1	222	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005290_8	3	324	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005294_6	2	334	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005345_16	1	100	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005391_1	33	8779	TRUE	TRUE	314.222222222222	3	NO3	0	0.666666666666667	0	1.25	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005470_5	1	9545	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005471_33	1	167	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005504_3	1	184	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_32	4	533	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_59	1	100	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_84	1	182	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_85	15	5879	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005529_87	4	752	TRUE	TRUE	129.2	2	NO3	0	0.333333333333333	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005562_4	1	150	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_10	166	208297	TRUE	TRUE	-244	1	CH4	0	0	0.333333333333333	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_11	52	30320	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_17	4	8758	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_18	29	8804	TRUE	TRUE	-217	1	SO4	0	1	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_22	3	10538	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005613_23	11	1461	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005645_11	1	129	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005645_33	7	3149	TRUE	FALSE	-244	1	CH4	0	0	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300005838_27	1	132	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005838_5	2	434	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005858_26	1	102	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300005983_14	5	7746	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006028_15	1	204	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006174_3	2	231	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006192_11	1	212	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006249_6	1	378	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006255_15	1	320	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006288_3	1	301	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006332_5	6	1013	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006498_16	1	137	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006499_26	1	156	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006613_4	8	1015	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300006871_20	1	109	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006904_22	1	471	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006913_4	59	128735	TRUE	TRUE	183.384615384615	4	NO3	0.25	1	0.5	1.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300006913_5	10	3812	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300006913_6	7	1121	TRUE	TRUE	655.294117647059	3	O2	1	0	0	1.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300006913_7	8	4281	TRUE	TRUE	405.953488372093	4	O2	1	1	0	1.25	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300006913_8	14	12028	TRUE	TRUE	518.6	3	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300007100_5	1	519	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007126_16	1	313	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007352_36	4	571	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007352_40	1	338	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007354_6	1	112	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007519_15	3	460	TRUE	TRUE	793.333333333333	2	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300007519_17	1	231	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007519_36	1	295	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007519_59	1	100	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007654_27	1	116	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007664_24	1	110	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007722_51	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007722_66	14	4286	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300007756_6	1	108	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007772_7	36	14895	TRUE	TRUE	350	1	ANX	0	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300007825_6	1	106	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300007943_3	8	3281	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008148_12	1	168	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008155_16	1	120	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008155_24	1	854	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008212_1	39	108676	TRUE	TRUE	712.727272727273	3	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300008215_5	4	1456	TRUE	TRUE	530.375	4	O2	1	0.333333333333333	0	1	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300008305_2	1	436	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008325_5	17	3302	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008421_3	1	505	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008551_4	1	224	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008618_3	1	988	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008636_19	1	122	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008716_34	1	248	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300008743_5	1	104	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009083_34	3	375	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009083_51	1	108	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009100_19	4	1421	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009503_167	1	158	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009503_21	18	4643	TRUE	TRUE	465.333333333333	2	O2	1	0	0.5	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009697_16	3	358	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_103	2	254	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_16	16	3308	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_18	6	1191	TRUE	TRUE	396	3	O2	1	0.666666666666667	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_20	21	5834	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_22	1	137	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_26	24	6220	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_31	5	2983	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_32	1	111	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_34	64	16827	TRUE	TRUE	506	3	O2	1	0.333333333333333	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_36	29	14547	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_37	14	8455	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_38	2	383	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_40	3	421	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_42	1	106	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_44	16	3561	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_51	1	254	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_59	2	317	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_60	1	152	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_61	1	627	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_63	2	474	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_67	8	3754	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_8	8	1531	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_80	1	105	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_83	7	1068	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009702_98	4	597	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009703_15	5	682	TRUE	TRUE	556.142857142857	3	O2	1	0.333333333333333	0	1	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009703_36	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009703_37	2	309	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009703_60	3	465	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009703_7	17	4981	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009703_8	23	6757	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009704_8	5	955	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009773_18	6	1466	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300009773_6	9	2845	TRUE	TRUE	516	2	O2	1	0	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300009840_13	7	2312	TRUE	TRUE	702.5	2	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300010029_1	2	722	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300010038_14	4	686	TRUE	TRUE	66.5	2	ANX	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300010042_4	1	142	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300010055_3	1	191	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300010292_3	72	83454	TRUE	TRUE	98.0833333333333	3	NO3	0	1	0.4	1	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300010294_7	6	1181	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300010339_9	3	354	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300010368_15	2	781	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300010371_18	9	1881	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300010396_55	1	172	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300010399_22	1	246	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011013_29	8	3631	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011013_8	2	1362	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011118_15	38	83256	TRUE	FALSE	-244	1	CH4	0	0	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300011118_20	192	460385	TRUE	TRUE	-231.727272727273	2	SO4	0	0.333333333333333	0.4	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300011118_28	202	1742142	TRUE	TRUE	-217	1	SO4	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300011118_29	50	17745	TRUE	TRUE	-217	1	SO4	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300011118_30	84	55846	TRUE	TRUE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011118_35	2	1525	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011118_40	4	559	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011133_1	1	526	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011345_1	1	122	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011378_1	2	616	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011526_2	1	180	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011533_5	1	139	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011571_4	1	1067	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011580_4	2	230	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011592_4	2	367	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011599_2	2	342	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011600_3	1	224	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011614_1	2	635	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011642_1	1	146	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011650_2	1	204	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011669_3	1	115	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011768_2	1	852	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011787_4	1	186	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011790_4	1	127	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011835_2	1	123	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011896_6	1	411	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011906_1	1	209	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011906_7	1	157	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011965_6	2	276	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011991_7	1	109	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300011992_7	8	1674	TRUE	TRUE	609.090909090909	3	O2	1	0	0	0.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012032_14	1	104	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012045_6	9	1260	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012090_10	3	810	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012090_16	7	1674	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012178_13	1	112	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012182_12	1	349	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012183_8	2	327	TRUE	TRUE	-217	1	SO4	0	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012185_9	11	3853	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012186_10	1	126	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012191_2	1	111	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012229_3	3	372	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012278_1	2	894	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012521_7	1	112	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012527_16	6	889	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012545_3	2	680	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012565_2	1	150	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012593_1	1	178	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012678_13	4	610	TRUE	TRUE	702.5	2	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012837_13	2	233	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012859_4	1	110	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012887_3	2	1594	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012887_4	1	177	TRUE	TRUE	702.5	2	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012887_6	1	111	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012921_8	1	100	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012950_11	1	124	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300012950_5	15	4808	TRUE	TRUE	820	1	O2	1	0	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012950_6	14	4438	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012950_8	9	3132	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300012953_11	5	574	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013004_12	1	131	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013097_13	2	249	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013101_22	3	380	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013101_26	1	418	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013101_33	1	215	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013103_74	149	144728	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013105_42	7	1922	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__3300013126_144	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013126_44	2	839	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013127_15	2	480	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013127_77	3	374	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013128_47	8	3145	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013128_68	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013129_11	7	1052	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013129_15	76	47177	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013129_68	5	772	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__3300013130_21	62	42608	TRUE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
