taxon	n_samples_non_damaged	total_reads_non_damaged	has_comp	has_ko	oap_v3	n_classes	dominant_class	o2_eff	so4_eff	ch4_eff	no3_eff	has_oap	light_filter_rule
S__GCA_015231605.1	2	235	TRUE	TRUE	368.9	4	NO3	0.5	1	0	1.5	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015232335.1	2	462	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015232365.1	1	172	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015232435.1	1	367	TRUE	TRUE	405.953488372093	4	O2	1	1	0	1.25	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015233395.1	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015233585.1	1	113	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015265375.1	1	290	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015478665.1	44	30502	TRUE	TRUE	560.75	2	O2	1	0.333333333333333	0	0	TRUE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015484715.1	3	330	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015486155.1	2	762	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015487095.1	1	300	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015487435.1	1	107	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015487885.1	1	102	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015488175.1	2	228	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015488215.1	2	221	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015488385.1	4	561	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015488555.1	1	131	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015488785.1	1	1194	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015488885.1	1	203	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015489145.1	4	604	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015490635.1	1	114	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015490815.1	1	136	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015490875.1	1	112	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
S__GCA_015491815.1	2	256	FALSE	FALSE								FALSE	none (full Non-damaged taxa in main sample set retained)
