sample	MEbrown	MEgreenyellow	MEblue	MEgreen	MEred	MEtan	MEmagenta	MEpurple	MEpink	MEyellow	MEblack	MEturquoise	MEgrey
LV3003046953	0.15375996350645	0.192110284283155	0.0679646783325532	0.130299430725059	0.00358594014554125	0.0143534959635347	0.174778549637381	0.107070498853304	0.0563935602084847	0.037330337477018	0.058860895988347	0.0796138045389505	0.0747978623312361
LV3003046939	0.119783679517416	0.175545397446891	0.0253507497688306	0.106446522762882	-0.0363182605400736	-0.0191688671779013	0.179815310404994	0.0944137713680136	0.0268753344294735	0.0126453475496682	0.0372770526250175	0.0663909420791736	0.0389067480962921
LV3003047045	0.128021462808889	0.187094059800103	0.0394605798722238	0.130260497808935	-0.031294242061904	-0.00069978879983122	0.200118201832326	0.12701740301015	0.0500153000182531	0.0313420352665691	0.0501355413677162	0.0821135915818813	0.063381772033578
LV3003047028	-0.0880091643957456	-0.00116046104009091	0.0903978791224994	0.045856195618347	-0.0108481203827138	0.0628841865414961	0.0547850971154586	0.0994859747809296	0.12967985995337	0.0957096071843702	0.12580854833892	0.133375139841111	0.13481055934945
LV3003047013	0.118165943031536	0.175767034573957	0.0539737517140743	0.0940501806411803	-0.0289282827598889	0.0177382583691934	0.193496167388877	0.149019369484723	0.0731163865089648	0.0500073093518246	0.0683166367157909	0.116851517523068	0.0951818085119001
LV3003046995	0.0823999831510162	0.146614938743409	0.0183978588374112	0.0836726189785377	-0.0351910218830972	-0.0193397660655214	0.163110800235569	0.108144382447609	0.0266612146830659	0.015077599520533	0.0290142447405269	0.0518216688124764	0.0303725019549372
LV3003046980	0.0944543322959145	0.16656778899354	0.0341869727166645	0.107099662869336	-0.0423487611162953	-0.00541509901428053	0.176037498691904	0.146465537769813	0.0441074732242352	0.0283889210451194	0.0388315683971365	0.0953406243668152	0.069432962622848
LV3003046952	0.0934219671595514	0.169529748137804	0.0368666213326122	0.113648141647486	-0.0130280205165556	-0.00826992062735964	0.187296116981301	0.208354941726057	0.0405306583698895	0.0255084709563947	0.0387772353511856	0.10110543144694	0.0582348859540764
LV3003046938	0.0900093109047635	0.163300479056561	0.0304314845828294	0.119322758370347	0.0221177890378148	-0.0206582685127926	0.177511715739908	0.198252398144568	0.0250092588770413	0.0125263836914886	0.0444485325610219	0.0924788935701104	0.0430594021502688
LV3003047044	0.064746643870149	-0.0196370129703754	0.0162419373926479	0.00990886604707641	0.103206201031933	0.107158613417491	-0.024090405745444	0.0133036828051869	0.016980581492585	0.00823177384087157	0.0687742786246943	0.0413267625733924	0.0265732022622304
LV3003047027	0.092097427891485	0.135355670483491	0.0297339268879795	0.122665125347837	0.0585871014636256	0.0225159786576854	0.137498750199199	0.167632100873707	0.010116103284554	0.00236005616248775	0.0118891456208136	0.0742375340184741	0.0341689312182721
LV3003047010	0.116199003633263	0.184548018774446	0.0574417455384516	0.122092307096026	-0.0113853971326463	0.00287107297754412	0.204963665362535	0.191135584322121	0.0544892438155174	0.036266354808114	0.0493837463483764	0.118356005276789	0.0676367144607284
