sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	state	label
LV3003047044	ST8	12.078	3.93092	6.75394096788059	0.201730640037471	0.173191274117295	-0.93141176428346	1	G-A
LV3003047099	ST8	25.058	4.8113	7.73314724352832	0.882725796461728	-0.0786568202836282	-1.06954986640259	1	G-A
LV3003047071	ST8	26.141	4.68128	7.78787645806057	0.430688308479664	0.0835274150668366	-1.21159588036123	1	G-A
LV3003047169	ST8	26.6703333333333	4.72362666666667	7.81462622496645	0.734526989121985	-0.170921435735694	-1.17305130314421	1	G-A
LV3003047156	ST8	27.1996666666667	4.75	7.84137599187233	0.835311450372885	0.0944305057445458	-0.97804390559822	1	G-A
LV3003047144	ST8	27.729	4.75	7.87282431997209	1.15027580140178	0.199491880829493	-1.05283876599128	1	G-A
LV3003047131	ST8	28.2453333333333	4.74509333333333	7.95468779538517	0.553966475539453	0.572130198570816	-0.630651653335991	1	G-A
LV3003047117	ST8	28.7616666666667	4.73476666666667	8.03655127079825	0.335608962793528	0.318716912345876	-0.893825297432571	1	G-A
LV3003047098	ST8	29.278	4.69942	8.11841474621133	-0.373980839250574	-0.0356293677993515	-0.819236032100939	1	G-A
LV3003047085	ST8	29.703	4.65267	8.18579752939511	0.443665776266251	-0.137229403687655	-1.05950807963545	1	G-A
LV3003047070	ST8	30.128	4.62	8.25318031257889	0.0940544341946502	-0.00666551600767172	-1.07158202236022	1	G-A
LV3003047168	ST8	30.497	4.62	8.31168442315493	0.548806528590233	-0.159389767349228	-0.929454577316656	1	G-A
LV3003047155	ST8	30.9475	4.62	8.38311017332974	-0.650274114908102	-0.0825618304609965	-0.639812033525406	1	G-A
LV3003047143	ST8	31.398	4.61204	8.45453592350455	0.501108126905372	0.557044092026574	-0.650891433856839	1	G-A
LV3003047130	ST8	31.936	4.60128	8.53983459962896	0.181084569472023	0.272040856824998	-0.833270578980618	1	G-A
LV3003047114	ST8	32.3855	4.59229	8.61110180207863	0.0388585083624857	0.384076136137307	-0.605359680286949	1	G-A
LV3003047097	ST8	32.835	4.5833	8.6823690045283	0.422980052555448	0.439996279417366	-0.724523363600073	1	G-A
LV3003047069	ST8	33.7436870748299	4.5874368707483	8.82643927310517	0.276224725605886	0.177964206545564	-0.920724360069899	1	G-A
LV3003047167	ST8	34.67812	4.556094	8.97459148768522	-0.416259962078298	-0.0498286118288526	-0.814380117646623	1	G-A
LV3003047154	ST8	35.13012	4.5282892	9.04625505944773	0.127035906324534	0.345002021837185	-0.689310035211433	1	G-A
LV3003047142	ST8	35.5823	4.487593	9.11794716980078	-0.182778697031742	-0.0633702662737632	-0.935378711035689	1	G-A
LV3003047129	ST8	36.0373	4.450373	9.19008638473871	0.278331740833662	-0.073521316543673	-1.10774697692625	1	G-A
LV3003047113	ST8	36.48927	4.4548927	9.26174520006947	0.815739376752263	-0.0402964751332486	-1.08605989064398	1	G-A
LV3003047096	ST8	36.89377	4.4589377	9.23725876185055	0.418149148559958	0.0328926239229223	-1.16638321366159	1	G-A
LV3003047083	ST8	37.30319	4.4448405	9.1756505076159	0.266462974646609	0.254270035003329	-0.927338926216341	1	G-A
LV3003047068	ST8	37.78969	4.4205155	9.10244349358346	0.201992579241597	0.0924224411548042	-1.05147399664425	1	G-A
LV3003047166	ST8	38.27343	4.4482802	9.0296517958074	0.526501781298691	0.488951977221388	-0.817399784018635	1	G-A
LV3003047153	ST8	38.71393	4.5099502	8.96336671938132	0.571037073792707	0.555594936668379	-0.768499400642309	1	G-A
LV3003047128	ST8	39.57797	4.55	8.83334865482924	0.283983309944116	-0.0112117177571973	-1.15688051952209	1	G-A
LV3003047112	ST8	40.0335	4.54866	8.76480191052874	0.496372105924117	0.390129074628752	-0.966919283376411	1	G-A
LV3003047095	ST8	40.9751666666667	4.51099333333333	8.62310282547109	0.154470223911947	0.366218273323208	-0.590060713527177	1	G-A
LV3003047082	ST8	41.9168333333333	4.50083166666667	8.48140374041344	-0.153702234265744	0.193785521684496	-0.638262278801492	1	G-A
LV3003047067	ST8	42.86602	4.4653592	8.33857306903406	0.744636741594086	0.55954539312411	-0.541237492106402	1	G-A
LV3003047164	ST8	43.93302	4.4786604	8.37946113303367	-0.269939241410293	0.102048810411296	-0.776035062735652	1	G-A
LV3003047152	ST8	45.00002	4.3300006	8.47849004532337	0.432076037707141	0.579464592421939	-0.596665735000891	1	G-A
LV3003047110	ST8	49.1548	4.441424	8.86409767812845	-0.552197630532111	0.0166213001674781	-0.649144867747455	1	G-A
LV3003047094	ST8	50.6848	4.333152	8.71916462667657	0.115500036051001	0.611478128270174	-0.251348124078834	1	G-A
LV3003047081	ST8	52.20718	4.3369334	7.53394237030326	0.253336713098164	0.339247446597125	-0.655132835487865	1	G-A
LV3003047159	ST8	56.7987933333333	4.41390346666667	6.86838342718166	-0.326911838520115	0.332304849421717	-0.25776351453823	1	G-A
LV3003047158	ST8	57.70646	4.4723876	7.06485967649701	-0.324726686266907	-0.0432744979736951	-0.807970355628318	1	G-A
