sample	MEpurple	MEmagenta	MEpink	MEyellow	MEblack	MEgreen	MEturquoise	MEred	MEblue	MEbrown	MEgrey
LV3003046953	0.0675414788978126	0.0474336989036724	0.126289563000205	-0.0266605565821937	-0.0428384703609352	0.00897924630588387	0.0185066364614986	0.081468393853849	0.00673786839194102	-0.0260781721975518	-0.0325423459714142
LV3003046939	0.170703477408028	0.117589941094622	0.135677717314797	-0.0312266922012062	-0.0301873491542934	0.00256387470433902	0.0194636599465979	0.0858163040871296	-0.00555436968942702	-0.0346517759013811	-0.0345555069520677
LV3003047045	0.138113414402304	0.118382986206503	0.153276417166396	-0.031442854969353	-0.0274712164309856	-0.00791943745261287	0.0110200227326721	0.0850386997007097	-0.0199504320652317	-0.037901550682693	-0.0380310404137981
LV3003047028	-0.0301447759759989	-0.0322242334409148	-0.0541540954256528	-0.0337103237138431	-0.0494790801280516	-0.128514374745165	-0.172525824663049	-0.0653174018529304	-0.0382562334269976	-0.0694782653328122	-0.0295665645187765
LV3003047013	0.206001112317521	0.156705004398969	0.141221279554856	-0.0314992652700141	-0.0391124426415903	-0.0360331002207504	0.00227053385604993	0.0465743604748445	-0.0165417229430038	-0.058784976965225	-0.0410732574802459
LV3003046995	0.111872641675368	0.124540468303713	0.147041105123143	-0.0322396913979603	-0.0416161995468599	-0.0156158153140177	0.0065480749823995	0.0852070694993319	-0.0205681766257772	-0.0480454742139857	-0.0346717968705919
LV3003046980	0.283810710392769	0.180932577194291	0.142977876179535	-0.0314211741219863	-0.0461906933350012	-0.0296626554698421	-0.0065358442170703	0.0943322433600343	-0.0202558113481074	-0.0530134700755486	-0.0430691083820489
LV3003046952	0.302461633416822	0.199711073882264	0.158714235421236	-0.0315297291501307	-0.0143286020523471	-0.0288248607923342	-0.0198149330225627	0.0948247999335714	-0.0111611141189386	-0.0458638707762448	-0.0443849594876214
LV3003046938	0.31344735200656	0.267519838546833	0.158993548838298	-0.033710323713843	0.0158796566909935	0.000562985746742412	-0.00467357260596048	0.112749435713444	-0.00242885322241293	-0.0368510623091641	-0.0491710957982774
LV3003047044	-0.0155312199844102	-0.0280383853564715	-0.0492813552125471	-0.0257689391125183	0.10338050059954	0.0573352462572809	0.0109318375905953	-0.00796088069758956	-0.0329250444446451	0.0658590814419976	-0.0374867139706328
LV3003047027	0.256578628470033	0.230470285405247	0.144318049607814	-0.0262887059501725	0.0110505079122778	0.0267968843242989	0.0143117539682615	0.123633698029969	0.000227208624118228	0.0117084976425057	-0.0417852740226843
LV3003047010	0.288876871940566	0.214959556482966	0.145626703507872	-0.0311987340478052	-0.0330238160990675	-0.0185658522956499	-0.00559487642115359	0.0849659519910237	0.00497630032310159	-0.0401672881876655	-0.0455821093019999
