taxon	brown	green	blue	turquoise	yellow	grey	assigned_module	assigned_kME	max_bio_kME	max_bio_module	next_best_bio_kME	setting_id	module_type	assigned_is_max_kME	kME_margin	weak_assigned_kME	negative_assigned_kME	strong_hub	grey_rescuable	magenta	pink	red	black
S__3300000115_9	0.337024671411145	0.18977304646494	0.504444886689471	0.471578903273592	0.531597800693296	0.569751781864781	grey	0.569751781864781	0.531597800693296	yellow	0.531597800693296	baseline	technical	FALSE	0.0381539811714855	FALSE	FALSE	FALSE	TRUE				
S__3300000116_5	0.258897338504436	0.103612793193995	0.459025089614556	0.32403693843738	0.400891851372031	0.56758043932807	grey	0.56758043932807	0.459025089614556	blue	0.459025089614556	baseline	technical	FALSE	0.108555349713514	FALSE	FALSE	FALSE	FALSE				
S__3300000124_6	0.386158647779599	0.152780073417578	0.513669472862765	0.36024238958864	0.404080305305511	0.536788005023596	grey	0.536788005023596	0.513669472862765	blue	0.513669472862765	baseline	technical	FALSE	0.0231185321608314	FALSE	FALSE	FALSE	TRUE				
S__3300000144_1	0.011421994159046	0.896455088280269	0.391132842838623	0.499574038545768	0.388836869127777	0.533380634082291	green	0.896455088280269	0.896455088280269	green	0.499574038545768	baseline	biological	TRUE	0.3968810497345	FALSE	FALSE	TRUE	FALSE				
S__3300000146_15	-0.0752942806071666	0.236220455355721	-0.0660934857469312	0.18542359753821	0.0629212247741649	0.0913057608920358	grey	0.0913057608920358	0.236220455355721	green	0.236220455355721	baseline	technical	FALSE	-0.144914694463685	TRUE	FALSE	FALSE	FALSE				
S__3300000179_4	0.202793024547288	0.466440583391364	0.394062431812761	0.783674164801238	0.706962007059974	0.604656148480852	turquoise	0.783674164801238	0.783674164801238	turquoise	0.706962007059974	baseline	biological	TRUE	0.0767121577412635	FALSE	FALSE	TRUE	FALSE				
S__3300000212_12	0.483464157369901	-0.0537615864124189	-0.00169554029420843	0.0870429455823214	0.0964641506815322	0.0666575063432889	grey	0.0666575063432889	0.483464157369901	brown	0.483464157369901	baseline	technical	FALSE	-0.416806651026613	TRUE	FALSE	FALSE	FALSE				
S__3300000214_4	0.281732493224497	0.101787561992924	0.35142815089457	0.304496263934548	0.340216467039976	0.398439728590963	grey	0.398439728590963	0.35142815089457	blue	0.35142815089457	baseline	technical	FALSE	0.0470115776963925	FALSE	FALSE	FALSE	FALSE				
S__3300000322_5	-0.0746495800461844	0.397217818988118	-0.0782709313436939	0.0344346505901107	-0.0549040834048446	-0.0157188170196687	grey	-0.0157188170196687	0.397217818988118	green	0.397217818988118	baseline	technical	FALSE	-0.412936636007787	TRUE	TRUE	FALSE	FALSE				
S__3300000792_9	-0.0103628915802886	0.180448875704512	0.144740100686581	0.219475927123632	0.229462669177162	0.272177897141969	grey	0.272177897141969	0.229462669177162	yellow	0.229462669177162	baseline	technical	FALSE	0.0427152279648073	FALSE	FALSE	FALSE	FALSE				
S__3300001678_9	0.319534092614835	0.245556421182262	0.653920765965072	0.50580807146773	0.595960782854125	0.730603297142135	grey	0.730603297142135	0.653920765965072	blue	0.653920765965072	baseline	technical	FALSE	0.0766825311770627	FALSE	FALSE	TRUE	TRUE				
S__3300001683_13	0.319197679497838	0.349246640370992	0.521766822224459	0.399041163318922	0.447923118867132	0.596696090375552	grey	0.596696090375552	0.521766822224459	blue	0.521766822224459	baseline	technical	FALSE	0.0749292681510925	FALSE	FALSE	FALSE	TRUE				
S__3300001683_21	0.326153907156263	0.355261564644994	0.476428622068577	0.739670033065746	0.76379926306065	0.672673617959406	yellow	0.76379926306065	0.76379926306065	yellow	0.739670033065746	baseline	biological	TRUE	0.0241292299949035	FALSE	FALSE	TRUE	FALSE				
S__3300001683_28	0.264181840794133	0.397841061931029	0.438642760436293	0.900791167047295	0.815682261703481	0.651961361109182	turquoise	0.900791167047295	0.900791167047295	turquoise	0.815682261703481	baseline	biological	TRUE	0.0851089053438138	FALSE	FALSE	TRUE	FALSE				
S__3300001683_31	0.211174987397261	0.409681688243317	0.45184233153853	0.792105053275143	0.783192967744421	0.640919797544788	turquoise	0.792105053275143	0.792105053275143	turquoise	0.783192967744421	baseline	biological	TRUE	0.00891208553072187	FALSE	FALSE	TRUE	FALSE				
S__3300001683_37	0.472672898375206	-0.0557031045836877	0.329300598246631	0.155419673415205	0.175815919682511	0.210664402993396	grey	0.210664402993396	0.472672898375206	brown	0.472672898375206	baseline	technical	FALSE	-0.26200849538181	FALSE	FALSE	FALSE	FALSE				
S__3300001683_4	0.273906458708862	0.432087721442314	0.345327185139598	0.909746289086293	0.807933452984435	0.60002419184935	turquoise	0.909746289086293	0.909746289086293	turquoise	0.807933452984435	baseline	biological	TRUE	0.101812836101858	FALSE	FALSE	TRUE	FALSE				
S__3300001835_22	-0.00165714554628486	0.00459228254263035	-0.06181949572972	0.0513476396349035	0.039612611588425	-0.00212740991829224	grey	-0.00212740991829224	0.0513476396349035	turquoise	0.0513476396349035	baseline	technical	FALSE	-0.0534750495531957	TRUE	TRUE	FALSE	FALSE				
S__3300002154_2	0.32779841560977	0.236701357300055	0.495811030085995	0.575145984942714	0.681551012308292	0.685411095371985	grey	0.685411095371985	0.681551012308292	yellow	0.681551012308292	baseline	technical	FALSE	0.00386008306369301	FALSE	FALSE	FALSE	TRUE				
S__3300002239_5	0.216712032761087	-0.155677576988202	0.0943398633324385	-0.0132587257630515	-0.0017664500685538	0.078048914551094	grey	0.078048914551094	0.216712032761087	brown	0.216712032761087	baseline	technical	FALSE	-0.138663118209993	TRUE	FALSE	FALSE	FALSE				
S__3300004630_4	0.155566705395002	0.104640576543089	0.144061714107399	0.177061170933373	0.154375827147282	0.255107948561388	grey	0.255107948561388	0.177061170933373	turquoise	0.177061170933373	baseline	technical	FALSE	0.0780467776280147	FALSE	FALSE	FALSE	FALSE				
S__3300004632_4	-0.0604849124061842	0.0810093635076862	-0.145371215048086	0.00129367067500078	-0.159697945091002	-0.139194740721504	grey	-0.139194740721504	0.0810093635076862	green	0.0810093635076862	baseline	technical	FALSE	-0.22020410422919	TRUE	TRUE	FALSE	FALSE				
S__3300005056_12	0.267384158367456	0.0474553277840689	0.590280139666435	0.28104117438169	0.351287725626889	0.522390394243961	grey	0.522390394243961	0.590280139666435	blue	0.590280139666435	baseline	technical	FALSE	-0.0678897454224733	FALSE	FALSE	FALSE	TRUE				
S__3300005253_23	0.352934406167954	0.0602532211242144	0.313313000283167	0.277748169060098	0.265059550394461	0.282386642723146	grey	0.282386642723146	0.352934406167954	brown	0.352934406167954	baseline	technical	FALSE	-0.070547763444808	FALSE	FALSE	FALSE	FALSE				
S__3300005253_25	0.123258444112783	-0.0790026288214911	-0.0206774005146337	-0.169210525717095	-0.20776530667402	-0.103136643852944	grey	-0.103136643852944	0.123258444112783	brown	0.123258444112783	baseline	technical	FALSE	-0.226395087965728	TRUE	TRUE	FALSE	FALSE				
S__3300005391_1	0.244316337316723	0.160876697900517	0.581089862591798	0.327555907422541	0.359411316074199	0.539506702680471	grey	0.539506702680471	0.581089862591798	blue	0.581089862591798	baseline	technical	FALSE	-0.0415831599113267	FALSE	FALSE	FALSE	TRUE				
S__3300005613_10	-0.0622545608581308	0.0549991707697037	-0.0567889048617771	-0.0878663743936201	-0.147684266527938	-0.0592509907340203	grey	-0.0592509907340203	0.0549991707697037	green	0.0549991707697037	baseline	technical	FALSE	-0.114250161503724	TRUE	TRUE	FALSE	FALSE				
S__3300005838_29	-0.050280049947275	-0.0462586401484682	-0.0885231082607304	0.0589075327555169	0.0704564495601195	-0.0400140187115885	grey	-0.0400140187115885	0.0704564495601195	yellow	0.0704564495601195	baseline	technical	FALSE	-0.110470468271708	TRUE	TRUE	FALSE	FALSE				
S__3300006083_2	0.128907068951318	0.166424969415848	0.305417471030891	0.187264271887811	0.189310383907781	0.291275867338953	grey	0.291275867338953	0.305417471030891	blue	0.305417471030891	baseline	technical	FALSE	-0.0141416036919378	FALSE	FALSE	FALSE	FALSE				
S__3300006311_3	0.35917562822035	0.419304819238341	0.347672080417938	0.782718086769278	0.654829433339836	0.562751639571111	turquoise	0.782718086769278	0.782718086769278	turquoise	0.654829433339836	baseline	biological	TRUE	0.127888653429443	FALSE	FALSE	TRUE	FALSE				
S__3300006613_4	0.105429000523742	0.346620239948006	0.578861756185936	0.306509233700507	0.327167018087648	0.554900109734666	blue	0.578861756185936	0.578861756185936	blue	0.346620239948006	baseline	biological	TRUE	0.232241516237929	FALSE	FALSE	FALSE	FALSE				
S__3300006902_27	0.310083443258191	0.224084426517875	0.879466492155312	0.405810985818756	0.46196701739745	0.724947335983	blue	0.879466492155312	0.879466492155312	blue	0.46196701739745	baseline	biological	TRUE	0.417499474757862	FALSE	FALSE	TRUE	FALSE				
S__3300006913_7	-0.059760400933556	0.126379104969721	-0.0683730804268121	0.0583018375141661	-0.0502280025633685	-0.0428839235762724	grey	-0.0428839235762724	0.126379104969721	green	0.126379104969721	baseline	technical	FALSE	-0.169263028545993	TRUE	TRUE	FALSE	FALSE				
S__3300006913_8	-0.0756233667172233	0.22363433292965	-0.0770460203982907	0.105050170742122	-0.0272957743406543	0.0113521552670158	grey	0.0113521552670158	0.22363433292965	green	0.22363433292965	baseline	technical	FALSE	-0.212282177662634	TRUE	FALSE	FALSE	FALSE				
