setting_id	within_tom_median	between_tom_median	tom_separation_ratio	tom_silhouette_like	within_edge_fraction_top_0_5pct	bio_within_edge_fraction_top_0_5pct	modularity_top_0_5pct	largest_component_fraction_top_0_5pct	isolate_fraction_top_0_5pct
baseline	0.0330813259384511	0.000689038986670298	48.0108188047717	0.979171361270335	0.761432643450242	0.76899501979313	0.239563505996257	0.129104062326099	0.746800222593211
opt5	0.0340785855518024	0.0137046664829972	2.48664099882198	0.597851076824625	0.736274631304994	0.738273453093813	0.180236232841465	0.13132999443517	0.805787423483584
exp4	0.0408032351367377	0.013435958102339	3.03686829223101	0.670713411392182	0.736274631304994	0.738273453093813	0.180236334018446	0.13132999443517	0.805787423483584
exp3	0.0433089160786511	0.0122631924411013	3.53161840089021	0.716843699832368	0.995166687321849	0.998877245508982	0.190474272330799	0.13132999443517	0.805787423483584
