setting_id	power	deepSplit	mergeCutHeight	minModuleSize	final_score	rank	grey_pct	non_grey_modules	mean_bootstrap_jaccard	mean_balanced_jaccard	bio_pres_strong	mean_concordance_pearson	bio_median_assigned_kME	bio_p05_assigned_kME	bio_frac_assigned_kME_lt_0_2	bio_frac_negative_assigned_kME	bio_frac_assigned_is_max_kME	bio_median_kME_margin	bio_n_strong_hubs	grey_max_bio_kME_median	grey_rescuable_fraction	within_tom_median	between_tom_median	tom_separation_ratio	tom_silhouette_like	within_edge_fraction_top_0_5pct	bio_within_edge_fraction_top_0_5pct	modularity_top_0_5pct	largest_component_fraction_top_0_5pct	isolate_fraction_top_0_5pct	kME_score	topology_score	integrated_score	flag_low_median_kME	flag_low_p05_kME	flag_negative_kME	flag_low_assigned_max	flag_low_tom_separation	flag_low_within_edges	flag_grey_rescuable	n_review_flags	integrated_rank
exp3	12	3	0.25	20	0.926270697478791	1	28.6588759042849	8	0.400339052880668	0.517143211701409	6	0.856836697652229	0.702840613526244	0.383450586703463	0	0	0.829953198127925	0.118164732525828	651	0.265898423932263	0.180582524271845	0.0433089160786511	0.0122631924411013	3.53161840089021	0.716843699832368	0.995166687321849	0.998877245508982	0.190474272330799	0.13132999443517	0.805787423483584	0.47596354062883	0.417929577001019	0.752576800557412	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1
exp4	12	3	0.2	20	0.867591571529931	2	28.6588759042849	9	0.377504628157064	0.459198457199746	7	0.859068064820485	0.709698109590417	0.391065528126466	0	0	0.791731669266771	0.0716032139667393	670	0.27098391860615	0.180582524271845	0.0408032351367377	0.013435958102339	3.03686829223101	0.670713411392182	0.736274631304994	0.738273453093813	0.180236334018446	0.13132999443517	0.805787423483584	0.308588918143642	0.0338612141119782	0.587771379927445	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	2
opt5	12	1	0.2	20	0.546184581366946	3	34.0567612687813	5	0.394588367270918	0.456079779998124	5	0.71359036153329	0.689156596790696	0.384057729048799	0	0	0.837974683544304	0.092719077583249	559	0.24432359454191	0.160130718954248	0.0340785855518024	0.0137046664829972	2.48664099882198	0.597851076824625	0.736274631304994	0.738273453093813	0.180236232841465	0.13132999443517	0.805787423483584	0.408301191362663	0	0.353157259536839	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	3
baseline	20	2	0.15	20	0.226923929890834	10	66.5553700612131	5	0.35113007106111	0.349356040242303	4	0.847279795668254	0.783047264002319	0.601732996623819	0	0	0.896838602329451	0.122440065866913	456	0.427600639647018	0.37876254180602	0.0330813259384511	0.000689038986670298	48.0108188047717	0.979171361270335	0.761432643450242	0.76899501979313	0.239563505996257	0.129104062326099	0.746800222593211	0.714285714285714	0.702510298281612	0.319073488227751	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	4
