core_a	core_b	module	pearson_r.V1	spearman_rho.V1	rmse
ST8	ST13	MEbrown	0.240002153277498	0.473579028219124	0.0666243863581917
ST8	ST13	MEgreen	-0.157280614009334	-0.17718731304801	0.122737136593369
ST8	ST13	MEblue	0.297150553207865	0.345391796263989	0.0907402214041311
ST8	ST13	MEturquoise	-0.000285839124869167	0.0191659165916592	0.110383132193744
ST8	ST13	MEyellow	0.385716843499289	0.406456645664566	0.104841583167359
ST8	ST13	MEgrey	0.332092900058908	0.236543654365437	0.111394668438384
ST8	GeoB25202_R1	MEbrown	0.298235592756189	0.0237473237534275	0.089166755975927
ST8	GeoB25202_R1	MEgreen	-0.166071961540099	-0.177962881657393	0.0995886065325989
ST8	GeoB25202_R1	MEblue	0.486862081582281	0.515144772145427	0.0708413940828559
ST8	GeoB25202_R1	MEturquoise	0.0988529259322683	0.242328232823282	0.0954304095631622
ST8	GeoB25202_R1	MEyellow	0.482807908884839	0.572649264926493	0.0785521438687344
ST8	GeoB25202_R1	MEgrey	0.537023461444308	0.5004500450045	0.0745352635618669
ST8	GeoB25202_R2	MEbrown	0.084845789242296	0.253065837530735	0.0588509124389188
ST8	GeoB25202_R2	MEgreen	-0.0736928110489776	-0.0526792242121202	0.186414805669193
ST8	GeoB25202_R2	MEblue	0.465547625050952	0.479288249752019	0.0529617832188953
ST8	GeoB25202_R2	MEturquoise	0.112444876282859	0.186978697869787	0.147955409149536
ST8	GeoB25202_R2	MEyellow	0.42977156638642	0.414665466546655	0.175847821573617
ST8	GeoB25202_R2	MEgrey	0.61165678697019	0.422634263426343	0.0647611814301984
ST13	GeoB25202_R1	MEbrown	0.81659963437711	0.436482423651621	0.0407523381554883
ST13	GeoB25202_R1	MEgreen	0.762128356708657	0.744224283811193	0.0595795091834739
ST13	GeoB25202_R1	MEblue	0.828313012496263	0.651171031917192	0.0424619895297767
ST13	GeoB25202_R1	MEturquoise	0.871294632324951	0.822610261026103	0.0347569630137033
ST13	GeoB25202_R1	MEyellow	0.752176155536299	0.775097509750975	0.0530463901262535
ST13	GeoB25202_R1	MEgrey	0.813436680284854	0.876495649564957	0.0508387316871379
ST13	GeoB25202_R2	MEbrown	0.775542988735382	0.664743992486933	0.0427916189596592
ST13	GeoB25202_R2	MEgreen	0.770403870475229	0.772523792950326	0.135962063993652
ST13	GeoB25202_R2	MEblue	0.803426364740228	0.579134439387302	0.0651748475314775
ST13	GeoB25202_R2	MEturquoise	0.907313879095761	0.878079807980798	0.143144162303318
ST13	GeoB25202_R2	MEyellow	0.785290008505095	0.817653765376538	0.149249030176587
ST13	GeoB25202_R2	MEgrey	0.497391044614932	0.520480048004801	0.0781888282434139
GeoB25202_R1	GeoB25202_R2	MEbrown	0.940211091620492	0.427626793943762	0.0639981256474348
GeoB25202_R1	GeoB25202_R2	MEgreen	0.889927136350619	0.792353989522889	0.120158999774996
GeoB25202_R1	GeoB25202_R2	MEblue	0.978212027482658	0.776181260183188	0.0577568934409341
GeoB25202_R1	GeoB25202_R2	MEturquoise	0.909715767705885	0.849324932493249	0.142651877392795
GeoB25202_R1	GeoB25202_R2	MEyellow	0.840854369149989	0.842940294029403	0.137032770329022
GeoB25202_R1	GeoB25202_R2	MEgrey	0.52475838169988	0.486768676867687	0.0609893081877572
