state	sample	module	core	age_kyr	state_label	index	centered	state_label_ref	state_label_source
1	LV3003047027	leiden2	ST8	12.877	state_03	OAP	76.3806931333842	state_03	IG-D
1	LV3003047027	leiden6	ST8	12.877	state_03	OAP	-16.8915078969919	state_03	IG-D
1	LV3003047027	grey	ST8	12.877	state_03	OAP	66.6082390344045	state_03	IG-D
1	LV3003047027	leiden5	ST8	12.877	state_03	OAP	-292.579853552871	state_03	IG-D
1	LV3003047045	leiden1	ST8	3.5865	state_03	OAP	89.1758896316201	state_03	IG-D
1	LV3003047045	leiden3	ST8	3.5865	state_03	OAP	177.409964322931	state_03	IG-D
1	LV3003047045	leiden4	ST8	3.5865	state_03	OAP	-57.9624991733873	state_03	IG-D
1	LV3003047045	leiden2	ST8	3.5865	state_03	OAP	143.215529154805	state_03	IG-D
1	LV3003047045	leiden6	ST8	3.5865	state_03	OAP	-75.1031487715067	state_03	IG-D
1	LV3003047045	grey	ST8	3.5865	state_03	OAP	120.742161290052	state_03	IG-D
1	LV3003047045	leiden5	ST8	3.5865	state_03	OAP	-397.477896454513	state_03	IG-D
1	LV3003047079	leiden3	ST8	97.52	state_03	OAP	74.1088387458158	state_03	IG-D
1	LV3003047079	leiden4	ST8	97.52	state_03	OAP	-23.0927522057506	state_03	IG-D
1	LV3003047079	grey	ST8	97.52	state_03	OAP	-263.523760567847	state_03	IG-D
1	LV3003047079	leiden5	ST8	97.52	state_03	OAP	-582.32069953556	state_03	IG-D
1	LV3003047079	leiden2	ST8	97.52	state_03	OAP	205.902364778394	state_03	IG-D
1	LV3003047079	leiden1	ST8	97.52	state_03	OAP	179.030258701499	state_03	IG-D
1	LV3003047079	leiden6	ST8	97.52	state_03	OAP	409.895750083448	state_03	IG-D
1	LV3003047080	leiden4	ST8	87.9935	state_03	OAP	11.8385018165084	state_03	IG-D
1	LV3003047080	leiden1	ST8	87.9935	state_03	OAP	265.83862388587	state_03	IG-D
1	LV3003047080	leiden3	ST8	87.9935	state_03	OAP	16.9241792077815	state_03	IG-D
1	LV3003047080	leiden5	ST8	87.9935	state_03	OAP	-412.066611818342	state_03	IG-D
1	LV3003047080	grey	ST8	87.9935	state_03	OAP	-95.1739964343901	state_03	IG-D
1	LV3003047080	leiden2	ST8	87.9935	state_03	OAP	212.639303342572	state_03	IG-D
1	LV3003047091	leiden4	ST8	89.37525	state_03	OAP	101.060638821575	state_03	IG-D
1	LV3003047091	leiden5	ST8	89.37525	state_03	OAP	-408.498600492854	state_03	IG-D
1	LV3003047091	grey	ST8	89.37525	state_03	OAP	199.979062788811	state_03	IG-D
1	LV3003047091	leiden3	ST8	89.37525	state_03	OAP	232.603536203718	state_03	IG-D
1	LV3003047091	leiden2	ST8	89.37525	state_03	OAP	241.895704331586	state_03	IG-D
1	LV3003047091	leiden1	ST8	89.37525	state_03	OAP	-367.040341652837	state_03	IG-D
1	LV3003047093	leiden3	ST8	79.675	state_03	OAP	100.461298930297	state_03	IG-D
1	LV3003047093	leiden4	ST8	79.675	state_03	OAP	59.0514528633942	state_03	IG-D
1	LV3003047093	leiden1	ST8	79.675	state_03	OAP	163.770703094334	state_03	IG-D
1	LV3003047093	grey	ST8	79.675	state_03	OAP	-158.967592375226	state_03	IG-D
1	LV3003047093	leiden5	ST8	79.675	state_03	OAP	-481.199242014267	state_03	IG-D
1	LV3003047093	leiden2	ST8	79.675	state_03	OAP	316.883379501468	state_03	IG-D
1	LV3003047100	leiden3	ST8	86.61175	state_03	OAP	62.5444925774426	state_03	IG-D
1	LV3003047100	leiden4	ST8	86.61175	state_03	OAP	48.4059549966601	state_03	IG-D
1	LV3003047100	leiden5	ST8	86.61175	state_03	OAP	-481.860011832596	state_03	IG-D
1	LV3003047100	grey	ST8	86.61175	state_03	OAP	-67.9445434661739	state_03	IG-D
1	LV3003047100	leiden2	ST8	86.61175	state_03	OAP	218.736522508358	state_03	IG-D
1	LV3003047100	leiden1	ST8	86.61175	state_03	OAP	220.117585216309	state_03	IG-D
1	LV3003047101	leiden4	ST8	85.23	state_03	OAP	-41.1042596719836	state_03	IG-D
1	LV3003047101	leiden1	ST8	85.23	state_03	OAP	293.365434767412	state_03	IG-D
1	LV3003047101	grey	ST8	85.23	state_03	OAP	52.9965545428902	state_03	IG-D
1	LV3003047101	leiden2	ST8	85.23	state_03	OAP	207.65305778325	state_03	IG-D
1	LV3003047101	leiden3	ST8	85.23	state_03	OAP	36.6688846112158	state_03	IG-D
1	LV3003047101	leiden5	ST8	85.23	state_03	OAP	-549.579672032784	state_03	IG-D
1	LV3003047107	leiden4	ST8	71.517	state_03	OAP	50.0249820978514	state_03	IG-D
1	LV3003047107	leiden3	ST8	71.517	state_03	OAP	76.0184617988096	state_03	IG-D
1	LV3003047107	leiden5	ST8	71.517	state_03	OAP	-514.615194693204	state_03	IG-D
1	LV3003047107	leiden2	ST8	71.517	state_03	OAP	226.53712529939	state_03	IG-D
1	LV3003047107	grey	ST8	71.517	state_03	OAP	-110.836741051528	state_03	IG-D
1	LV3003047107	leiden1	ST8	71.517	state_03	OAP	267.746204319377	state_03	IG-D
1	LV3003047107	leiden6	ST8	71.517	state_03	OAP	5.12516222930378	state_03	IG-D
1	LV3003047133	leiden3	ST8	70.162	state_03	OAP	82.1529342703317	state_03	IG-D
1	LV3003047133	leiden4	ST8	70.162	state_03	OAP	12.7954151240325	state_03	IG-D
1	LV3003047133	leiden6	ST8	70.162	state_03	OAP	288.253031027019	state_03	IG-D
1	LV3003047133	leiden2	ST8	70.162	state_03	OAP	166.473888327272	state_03	IG-D
1	LV3003047133	grey	ST8	70.162	state_03	OAP	-258.884441005167	state_03	IG-D
1	LV3003047133	leiden5	ST8	70.162	state_03	OAP	-489.976374805932	state_03	IG-D
1	LV3003047133	leiden1	ST8	70.162	state_03	OAP	199.185547062443	state_03	IG-D
1	LV3003047134	leiden1	ST8	68.807	state_03	OAP	216.900983183754	state_03	IG-D
