sample	module	module_abundance	core	age_kyr	state	state_label	index	value
LV3003046966	leiden3	0.0239620581924945	ST8	17.373	3	IG-A	OAP	602.210427589964
LV3003046966	leiden5	0.0401626077464524	ST8	17.373	3	IG-A	OAP	517.992981373081
LV3003046978	leiden1	0.0567054923903407	ST8	21.296	3	IG-A	OAP	501.68701117611
LV3003046978	leiden2	0.174142952509914	ST8	21.296	3	IG-A	OAP	565.421051359738
LV3003046978	leiden3	0.0410158567035269	ST8	21.296	3	IG-A	OAP	515.885680327919
LV3003046978	leiden4	0.685284903314752	ST8	21.296	3	IG-A	OAP	366.248972681615
LV3003046978	leiden5	0.039265154211338	ST8	21.296	3	IG-A	OAP	197.402706242815
LV3003046978	leiden6	0.00214801508664714	ST8	21.296	3	IG-A	OAP	573.264888337469
LV3003046978	grey	0.00143762578348148	ST8	21.296	3	IG-A	OAP	523.931081823174
LV3003046979	leiden2	0.131277610536387	ST8	16.461	3	IG-A	OAP	611.923449442216
LV3003046979	leiden3	0.0831497866550346	ST8	16.461	3	IG-A	OAP	438.728572786925
LV3003046979	leiden4	0.677146329335696	ST8	16.461	3	IG-A	OAP	398.370722393615
LV3003046979	leiden5	0.0665112129518435	ST8	16.461	3	IG-A	OAP	-62.1241805554853
LV3003046979	leiden1	0.0259263048867396	ST8	16.461	3	IG-A	OAP	564.487126660542
LV3003046979	grey	0.00902385478540746	ST8	16.461	3	IG-A	OAP	629.457190822608
LV3003046979	leiden6	0.00696490084889217	ST8	16.461	3	IG-A	OAP	532.034843086719
LV3003046980	leiden3	0.231435199081151	ST8	8.056	1	IG-D	OAP	620.465204645133
LV3003046980	leiden4	0.669660098581995	ST8	8.056	1	IG-D	OAP	405.951459731293
LV3003046980	grey	0.0184932326809202	ST8	8.056	1	IG-D	OAP	612.863180873181
LV3003046980	leiden2	0.058524601256478	ST8	8.056	1	IG-D	OAP	525.964492076967
LV3003046980	leiden1	0.0204450937153545	ST8	8.056	1	IG-D	OAP	672.030614996753
LV3003046980	leiden5	0.000596835729640355	ST8	8.056	1	IG-D	OAP	469.846153846154
LV3003046980	leiden6	0.000844938954461781	ST8	8.056	1	IG-D	OAP	820
LV3003046993	leiden1	0.0447990398981116	ST8	20.719	3	IG-A	OAP	367.697134730756
LV3003046993	leiden3	0.118954664576649	ST8	20.719	3	IG-A	OAP	521.056976316473
LV3003046993	leiden4	0.516279278617323	ST8	20.719	3	IG-A	OAP	435.56307248184
LV3003046993	leiden5	0.207243217647587	ST8	20.719	3	IG-A	OAP	-19.7675818313085
LV3003046993	leiden2	0.101137263546336	ST8	20.719	3	IG-A	OAP	543.620908392227
LV3003046993	grey	0.0109203425669663	ST8	20.719	3	IG-A	OAP	570.305203558623
LV3003046993	leiden6	0.000666193147027848	ST8	20.719	3	IG-A	OAP	674.766799923853
LV3003046994	leiden4	0.563438373826373	ST8	15.549	3	IG-A	OAP	289.2268715068
LV3003046994	leiden1	0.0133300640115877	ST8	15.549	3	IG-A	OAP	448.989618127799
LV3003046994	leiden3	0.0528363531257206	ST8	15.549	3	IG-A	OAP	289.745212323497
LV3003046994	grey	0.0427539597223891	ST8	15.549	3	IG-A	OAP	13.8982158851357
LV3003046994	leiden5	0.260495659488232	ST8	15.549	3	IG-A	OAP	291.357823641599
LV3003046994	leiden2	0.0671455898256975	ST8	15.549	3	IG-A	OAP	584.191079903015
LV3003046995	leiden1	0.0189651714972032	ST8	6.9705	1	IG-D	OAP	561.245704573548
LV3003046995	leiden3	0.278983574895717	ST8	6.9705	1	IG-D	OAP	618.06156853957
LV3003046995	leiden4	0.631589277104835	ST8	6.9705	1	IG-D	OAP	538.998331964883
LV3003046995	leiden2	0.0659478816891874	ST8	6.9705	1	IG-D	OAP	567.033690674224
LV3003046995	grey	0.00226558066704497	ST8	6.9705	1	IG-D	OAP	405.2
LV3003046995	leiden5	0.000671283160605918	ST8	6.9705	1	IG-D	OAP	280.926906779661
LV3003046995	leiden6	0.0015772309854067	ST8	6.9705	1	IG-D	OAP	618.443768159503
LV3003047009	leiden2	0.0767326194192605	ST8	20.142	3	IG-A	OAP	577.526253901176
LV3003047009	leiden4	0.537685798040997	ST8	20.142	3	IG-A	OAP	423.27618920008
LV3003047009	leiden5	0.185338474674904	ST8	20.142	3	IG-A	OAP	60.1735302560856
LV3003047009	leiden1	0.0642046783307681	ST8	20.142	3	IG-A	OAP	174.393794397868
LV3003047009	grey	0.0680987550919405	ST8	20.142	3	IG-A	OAP	19.3249884787248
LV3003047009	leiden3	0.067692215653536	ST8	20.142	3	IG-A	OAP	357.067535951529
LV3003047010	leiden3	0.249238901097297	ST8	13.676	1	IG-D	OAP	608.432851684855
LV3003047010	leiden4	0.636551729172903	ST8	13.676	1	IG-D	OAP	471.650908417844
LV3003047010	leiden1	0.0260138859483256	ST8	13.676	1	IG-D	OAP	675.038532972919
LV3003047010	leiden6	0.00538208260022048	ST8	13.676	1	IG-D	OAP	702.233160220138
LV3003047010	grey	0.0120359486906179	ST8	13.676	1	IG-D	OAP	649.270678706093
LV3003047010	leiden2	0.0704839639929037	ST8	13.676	1	IG-D	OAP	574.862479909216
LV3003047010	leiden5	0.00029348849773313	ST8	13.676	1	IG-D	OAP	820
LV3003047013	leiden1	0.0121836031475954	ST8	5.885	1	IG-D	OAP	657.41731497329
LV3003047013	leiden3	0.176217948928916	ST8	5.885	1	IG-D	OAP	646.145982316287
LV3003047013	leiden4	0.759327762620495	ST8	5.885	1	IG-D	OAP	366.474694574334
LV3003047013	leiden2	0.0400064505300295	ST8	5.885	1	IG-D	OAP	565.96951668783
LV3003047013	grey	0.00819151492014178	ST8	5.885	1	IG-D	OAP	628.333891472868
LV3003047013	leiden5	0.00224452116333334	ST8	5.885	1	IG-D	OAP	560.75
LV3003047013	leiden6	0.00182819868948926	ST8	5.885	1	IG-D	OAP	595.193405054791
LV3003047026	leiden1	0.0480425790321367	ST8	19.565	3	IG-A	OAP	488.444461850107
LV3003047026	leiden2	0.0833631322002181	ST8	19.565	3	IG-A	OAP	549.606615069491
LV3003047026	leiden4	0.555858437784924	ST8	19.565	3	IG-A	OAP	463.522377382218
LV3003047026	leiden5	0.196658521318975	ST8	19.565	3	IG-A	OAP	113.119438973643
LV3003047026	grey	0.0351618851395141	ST8	19.565	3	IG-A	OAP	62.1980932589519
LV3003047026	leiden3	0.0805362746030237	ST8	19.565	3	IG-A	OAP	394.714726766376
LV3003047026	leiden6	0.00037916992120849	ST8	19.565	3	IG-A	OAP	560.75
LV3003047027	leiden3	0.173283232363142	ST8	12.877	1	IG-D	OAP	647.447814413896
LV3003047027	leiden4	0.644947100399491	ST8	12.877	1	IG-D	OAP	480.26734312885
