state	sample	module	core	age_kyr	state_label	index	value	state_label_source
1	LV3003047045	leiden6	ST8	3.5865	state_03	OAP	388.874747683007	IG-D
1	LV3003047045	grey	ST8	3.5865	state_03	OAP	584.720057744565	IG-D
1	LV3003047045	leiden5	ST8	3.5865	state_03	OAP	66.5	IG-D
1	LV3003047079	leiden3	ST8	97.52	state_03	OAP	484.213088662368	IG-D
1	LV3003047079	leiden4	ST8	97.52	state_03	OAP	387.011497710801	IG-D
1	LV3003047079	grey	ST8	97.52	state_03	OAP	146.580489348704	IG-D
1	LV3003047079	leiden5	ST8	97.52	state_03	OAP	-172.216449619008	IG-D
1	LV3003047079	leiden2	ST8	97.52	state_03	OAP	616.006614694946	IG-D
1	LV3003047079	leiden1	ST8	97.52	state_03	OAP	589.134508618051	IG-D
1	LV3003047079	leiden6	ST8	97.52	state_03	OAP	820	IG-D
1	LV3003047080	leiden4	ST8	87.9935	state_03	OAP	340.317081380128	IG-D
1	LV3003047080	leiden1	ST8	87.9935	state_03	OAP	594.31720344949	IG-D
1	LV3003047080	leiden3	ST8	87.9935	state_03	OAP	345.402758771401	IG-D
1	LV3003047080	leiden5	ST8	87.9935	state_03	OAP	-83.5880322547225	IG-D
1	LV3003047080	grey	ST8	87.9935	state_03	OAP	233.30458312923	IG-D
1	LV3003047080	leiden2	ST8	87.9935	state_03	OAP	541.117882906192	IG-D
1	LV3003047091	leiden4	ST8	89.37525	state_03	OAP	326.879839363867	IG-D
1	LV3003047091	leiden5	ST8	89.37525	state_03	OAP	-182.679399950562	IG-D
1	LV3003047091	grey	ST8	89.37525	state_03	OAP	425.798263331103	IG-D
1	LV3003047091	leiden3	ST8	89.37525	state_03	OAP	458.422736746009	IG-D
1	LV3003047091	leiden2	ST8	89.37525	state_03	OAP	467.714904873878	IG-D
1	LV3003047091	leiden1	ST8	89.37525	state_03	OAP	-141.221141110545	IG-D
1	LV3003047093	leiden3	ST8	79.675	state_03	OAP	394.513060339006	IG-D
1	LV3003047093	leiden4	ST8	79.675	state_03	OAP	353.103214272103	IG-D
1	LV3003047093	leiden1	ST8	79.675	state_03	OAP	457.822464503043	IG-D
1	LV3003047093	grey	ST8	79.675	state_03	OAP	135.084169033483	IG-D
1	LV3003047093	leiden5	ST8	79.675	state_03	OAP	-187.147480605558	IG-D
1	LV3003047093	leiden2	ST8	79.675	state_03	OAP	610.935140910177	IG-D
1	LV3003047100	leiden3	ST8	86.61175	state_03	OAP	389.435437679736	IG-D
1	LV3003047100	leiden4	ST8	86.61175	state_03	OAP	375.296900098954	IG-D
1	LV3003047100	leiden5	ST8	86.61175	state_03	OAP	-154.969066730302	IG-D
1	LV3003047100	grey	ST8	86.61175	state_03	OAP	258.94640163612	IG-D
1	LV3003047100	leiden2	ST8	86.61175	state_03	OAP	545.627467610652	IG-D
1	LV3003047100	leiden1	ST8	86.61175	state_03	OAP	547.008530318602	IG-D
1	LV3003047101	leiden4	ST8	85.23	state_03	OAP	312.000491154136	IG-D
1	LV3003047101	leiden1	ST8	85.23	state_03	OAP	646.470185593532	IG-D
1	LV3003047101	grey	ST8	85.23	state_03	OAP	406.10130536901	IG-D
1	LV3003047101	leiden2	ST8	85.23	state_03	OAP	560.75780860937	IG-D
1	LV3003047101	leiden3	ST8	85.23	state_03	OAP	389.773635437336	IG-D
1	LV3003047101	leiden5	ST8	85.23	state_03	OAP	-196.474921206664	IG-D
1	LV3003047107	leiden4	ST8	71.517	state_03	OAP	392.774282540379	IG-D
1	LV3003047107	leiden3	ST8	71.517	state_03	OAP	418.767762241337	IG-D
1	LV3003047107	leiden5	ST8	71.517	state_03	OAP	-171.865894250677	IG-D
1	LV3003047107	leiden2	ST8	71.517	state_03	OAP	569.286425741917	IG-D
1	LV3003047107	grey	ST8	71.517	state_03	OAP	231.912559390999	IG-D
1	LV3003047107	leiden1	ST8	71.517	state_03	OAP	610.495504761905	IG-D
1	LV3003047107	leiden6	ST8	71.517	state_03	OAP	347.874462671831	IG-D
1	LV3003047133	leiden3	ST8	70.162	state_03	OAP	463.962293652795	IG-D
1	LV3003047133	leiden4	ST8	70.162	state_03	OAP	394.604774506496	IG-D
1	LV3003047133	leiden6	ST8	70.162	state_03	OAP	670.062390409482	IG-D
1	LV3003047133	leiden2	ST8	70.162	state_03	OAP	548.283247709736	IG-D
1	LV3003047133	grey	ST8	70.162	state_03	OAP	122.924918377297	IG-D
1	LV3003047133	leiden5	ST8	70.162	state_03	OAP	-108.167015423469	IG-D
1	LV3003047133	leiden1	ST8	70.162	state_03	OAP	580.994906444906	IG-D
1	LV3003047134	leiden1	ST8	68.807	state_03	OAP	666.481714000997	IG-D
1	LV3003047134	leiden3	ST8	68.807	state_03	OAP	549.323315099469	IG-D
1	LV3003047134	leiden4	ST8	68.807	state_03	OAP	445.955218796515	IG-D
1	LV3003047134	leiden5	ST8	68.807	state_03	OAP	-127.951879758883	IG-D
1	LV3003047134	leiden2	ST8	68.807	state_03	OAP	563.57327959352	IG-D
1	LV3003047134	grey	ST8	68.807	state_03	OAP	600.102737171838	IG-D
1	LV3003047136	leiden3	ST8	67.8766	state_03	OAP	513.665263935481	IG-D
1	LV3003047136	leiden4	ST8	67.8766	state_03	OAP	496.819516965696	IG-D
1	LV3003047136	leiden5	ST8	67.8766	state_03	OAP	-136.148442825244	IG-D
1	LV3003047136	leiden2	ST8	67.8766	state_03	OAP	584.614147867095	IG-D
1	LV3003047136	leiden1	ST8	67.8766	state_03	OAP	629.538021354688	IG-D
1	LV3003047136	grey	ST8	67.8766	state_03	OAP	567.488000880669	IG-D
1	LV3003047137	leiden4	ST8	66.9462	state_03	OAP	326.171053700314	IG-D
1	LV3003047137	leiden3	ST8	66.9462	state_03	OAP	299.262372132244	IG-D
1	LV3003047137	leiden5	ST8	66.9462	state_03	OAP	6.483758837392	IG-D
1	LV3003047137	leiden2	ST8	66.9462	state_03	OAP	593.940586675852	IG-D
1	LV3003047137	grey	ST8	66.9462	state_03	OAP	397.714432031092	IG-D
1	LV3003047137	leiden1	ST8	66.9462	state_03	OAP	685.85365910413	IG-D
1	LV3003047137	leiden6	ST8	66.9462	state_03	OAP	312.876947040499	IG-D
1	LV3003047138	leiden4	ST8	66.0158	state_03	OAP	414.384105258985	IG-D
1	LV3003047138	leiden5	ST8	66.0158	state_03	OAP	-89.1965644030794	IG-D
1	LV3003047138	grey	ST8	66.0158	state_03	OAP	126.960956182104	IG-D
1	LV3003047138	leiden3	ST8	66.0158	state_03	OAP	459.996720688817	IG-D
1	LV3003047138	leiden2	ST8	66.0158	state_03	OAP	542.407477399236	IG-D
1	LV3003047138	leiden1	ST8	66.0158	state_03	OAP	581.188020365379	IG-D
1	LV3003047138	leiden6	ST8	66.0158	state_03	OAP	666.666666666667	IG-D
1	LV3003061474	leiden1	ST13	77.7798	state_03	OAP	494.783067417648	IG-D
1	LV3003061474	leiden2	ST13	77.7798	state_03	OAP	596.049461417582	IG-D
1	LV3003061474	leiden3	ST13	77.7798	state_03	OAP	496.873721046143	IG-D
1	LV3003061474	leiden4	ST13	77.7798	state_03	OAP	332.460327521551	IG-D
1	LV3003061474	leiden6	ST13	77.7798	state_03	OAP	820	IG-D
1	LV3003061474	leiden5	ST13	77.7798	state_03	OAP	398.431134999752	IG-D
1	LV3003061474	grey	ST13	77.7798	state_03	OAP	428.660782442748	IG-D
1	LV3003061485	leiden1	ST13	75.7796	state_03	OAP	597.036713371647	IG-D
1	LV3003061485	leiden3	ST13	75.7796	state_03	OAP	597.502954339195	IG-D
1	LV3003061485	leiden4	ST13	75.7796	state_03	OAP	351.630759958855	IG-D
1	LV3003061485	leiden2	ST13	75.7796	state_03	OAP	584.608031644819	IG-D
1	LV3003061485	leiden6	ST13	75.7796	state_03	OAP	804.666666666667	IG-D
1	LV3003061485	leiden5	ST13	75.7796	state_03	OAP	604.927341627342	IG-D
1	LV3003061485	grey	ST13	75.7796	state_03	OAP	532.665706051873	IG-D
1	LV3003061500	leiden2	ST13	148.086	state_03	OAP	625.516912383633	IG-D
1	LV3003061500	leiden4	ST13	148.086	state_03	OAP	332.843096454944	IG-D
1	LV3003061500	leiden1	ST13	148.086	state_03	OAP	314.573213667216	IG-D
1	LV3003061500	leiden5	ST13	148.086	state_03	OAP	90.9878641226274	IG-D
1	LV3003061500	leiden3	ST13	148.086	state_03	OAP	116.149235884647	IG-D
