state	sample	core	age_kyr	state_label	index	value	state_label_source
1	LV3003047045	ST8	3.5865	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047079	ST8	97.52	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047080	ST8	87.9935	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047091	ST8	89.37525	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047093	ST8	79.675	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047100	ST8	86.61175	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047101	ST8	85.23	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047107	ST8	71.517	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047133	ST8	70.162	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047134	ST8	68.807	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047136	ST8	67.8766	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047137	ST8	66.9462	state_03	MGI	-13.8155105579643	IG-D
1	LV3003047138	ST8	66.0158	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061474	ST13	77.7798	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061485	ST13	75.7796	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061500	ST13	148.086	state_03	MGI	-4.87653915106565	IG-D
1	LV3003061501	ST13	105.5872	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061503	ST13	73.1472	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061514	ST13	100.6726	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061515	ST13	71.0012	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061528	ST13	95.118	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061529	ST13	66.015	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061541	ST13	91.09	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061543	ST13	62.293	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061556	ST13	86.6174	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061557	ST13	58.082	state_03	MGI	-13.8155105579643	IG-D
1	LV3003061569	ST13	81.6946	state_03	MGI	-13.8155105579643	IG-D
1	LV7001898088	ST13	6.031	state_03	MGI	-13.8155105579643	IG-D
1	LV7001898100	ST13	5.659	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886229	GeoB25202_R2	68.149	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886695	GeoB25202_R1	95.3875	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886706	GeoB25202_R1	79.0255	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886707	GeoB25202_R2	95.3875	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886708	GeoB25202_R1	109.6305	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886714	GeoB25202_R1	0.692	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886718	GeoB25202_R2	79.0255	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886719	GeoB25202_R1	87.2825	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886720	GeoB25202_R2	109.6305	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886726	GeoB25202_R2	0.692	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886730	GeoB25202_R1	75.351	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886731	GeoB25202_R2	87.2825	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886742	GeoB25202_R2	75.351	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886743	GeoB25202_R1	81.6705	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886744	GeoB25202_R1	105.5785	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886754	GeoB25202_R1	71.8895	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886755	GeoB25202_R2	81.6705	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886756	GeoB25202_R2	105.5785	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886766	GeoB25202_R2	71.8895	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886768	GeoB25202_R1	102.2955	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886778	GeoB25202_R1	68.149	state_03	MGI	-13.8155105579643	IG-D
1	LV7008886780	GeoB25202_R2	102.2955	state_03	MGI	-13.8155105579643	IG-D
1	LV3003046938	ST8	11.169	state_03	MFI	0	IG-D
1	LV3003046939	ST8	2.42	state_03	MFI	0	IG-D
1	LV3003046952	ST8	10.26	state_03	MFI	0	IG-D
1	LV3003046953	ST8	1.5215	state_03	MFI	0	IG-D
1	LV3003046980	ST8	8.056	state_03	MFI	0	IG-D
1	LV3003046995	ST8	6.9705	state_03	MFI	0	IG-D
1	LV3003047010	ST8	13.676	state_03	MFI	0	IG-D
1	LV3003047013	ST8	5.885	state_03	MFI	0	IG-D
1	LV3003047027	ST8	12.877	state_03	MFI	5.46657755375462	IG-D
1	LV3003047045	ST8	3.5865	state_03	MFI	0	IG-D
1	LV3003047079	ST8	97.52	state_03	MFI	0	IG-D
1	LV3003047080	ST8	87.9935	state_03	MFI	0	IG-D
1	LV3003047091	ST8	89.37525	state_03	MFI	0	IG-D
1	LV3003047093	ST8	79.675	state_03	MFI	0	IG-D
1	LV3003047100	ST8	86.61175	state_03	MFI	0	IG-D
1	LV3003047101	ST8	85.23	state_03	MFI	0	IG-D
1	LV3003047107	ST8	71.517	state_03	MFI	0	IG-D
1	LV3003047133	ST8	70.162	state_03	MFI	0	IG-D
1	LV3003047134	ST8	68.807	state_03	MFI	0	IG-D
1	LV3003047136	ST8	67.8766	state_03	MFI	0	IG-D
1	LV3003047137	ST8	66.9462	state_03	MFI	0	IG-D
1	LV3003047138	ST8	66.0158	state_03	MFI	0	IG-D
1	LV3003061474	ST13	77.7798	state_03	MFI	0	IG-D
1	LV3003061485	ST13	75.7796	state_03	MFI	0	IG-D
1	LV3003061500	ST13	148.086	state_03	MFI	-8.93897140689863	IG-D
1	LV3003061501	ST13	105.5872	state_03	MFI	0	IG-D
1	LV3003061503	ST13	73.1472	state_03	MFI	0	IG-D
1	LV3003061514	ST13	100.6726	state_03	MFI	5.51244875115467	IG-D
1	LV3003061515	ST13	71.0012	state_03	MFI	4.62973672390513	IG-D
1	LV3003061528	ST13	95.118	state_03	MFI	5.39847563492075	IG-D
1	LV3003061529	ST13	66.015	state_03	MFI	5.12843224289291	IG-D
1	LV3003061541	ST13	91.09	state_03	MFI	0	IG-D
1	LV3003061543	ST13	62.293	state_03	MFI	0	IG-D
1	LV3003061556	ST13	86.6174	state_03	MFI	0	IG-D
1	LV3003061557	ST13	58.082	state_03	MFI	0	IG-D
1	LV3003061569	ST13	81.6946	state_03	MFI	0	IG-D
1	LV7001898088	ST13	6.031	state_03	MFI	0	IG-D
1	LV7001898100	ST13	5.659	state_03	MFI	0	IG-D
1	LV7008886229	GeoB25202_R2	68.149	state_03	MFI	0	IG-D
1	LV7008886695	GeoB25202_R1	95.3875	state_03	MFI	0	IG-D
