state	state_label	module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	specialization_abs_centered_mean	mean_module_abundance	state_label_source
1	state_03	grey	OAP	59	59	488.51294947213	546.10840382406	168.18565277723	153.889975682327	0.344280848560854	27.7576075060137	58.3964624666142	114.160611583375	0.0411871743194189	IG-D
1	state_03	leiden1	OAP	60	60	542.393190109306	552.218760863528	121.74554790394	95.918769954255	0.224459949210287	82.3890750219412	60.0568252480398	103.370604773529	0.0140575567303722	IG-D
1	state_03	leiden2	OAP	60	60	564.939455036934	567.923509533305	32.4444769606197	40.5524503769022	0.0574300071828025	104.935339949568	93.9687449450546	110.896952705077	0.0842462588564996	IG-D
1	state_03	leiden3	OAP	60	60	490.165411380017	484.507873917888	131.099391335363	221.818358029973	0.267459490799777	30.1612962926513	29.8967240042374	81.5070736810567	0.125599426608705	IG-D
1	state_03	leiden4	OAP	60	60	360.525456079706	344.927287792261	66.9373641920756	74.9878299916737	0.185666124439426	-99.4786590076589	-102.724661104607	112.82499678677	0.707099543707937	IG-D
1	state_03	leiden5	OAP	59	59	245.042999450829	278.291210811248	269.504511320265	372.36306906377	1.09982538543952	-212.541753339306	-192.381940670947	240.205146565065	0.0268716204144088	IG-D
1	state_03	leiden6	OAP	48	48	558.686257874879	607.37411505088	235.321291821548	357.888357207168	0.421204725379606	79.6216972661277	120.342921659344	187.95679009671	0.00252067127280482	IG-D
1	state_03	grey	MGI	59	59	-13.8155105579643	-13.8155105579643	0	0	0	-0.0276964911381046	0	0.0276964911381046	0.0411871743194189	IG-D
1	state_03	leiden1	MGI	60	60	-13.8155105579643	-13.8155105579643	0	0	0	-0.0272348829524696	0	0.0272348829524696	0.0140575567303722	IG-D
1	state_03	leiden2	MGI	60	60	-13.8155105579643	-13.8155105579643	0	0	0	-0.0272348829524696	0	0.0272348829524696	0.0842462588564996	IG-D
1	state_03	leiden3	MGI	60	60	-13.8155105579643	-13.8155105579643	0	0	0	-0.0272348829524696	0	0.0272348829524696	0.125599426608705	IG-D
1	state_03	leiden4	MGI	60	60	-13.8155105579643	-13.8155105579643	0	0	0	-0.0272348829524696	0	0.0272348829524696	0.707099543707937	IG-D
1	state_03	leiden5	MGI	59	59	-13.6216351199976	-13.8155105579643	1.48918549595433	0	0.109325017359193	0.166178946828628	0	0.166178946828628	0.0268716204144088	IG-D
1	state_03	leiden6	MGI	51	51	-13.8155105579643	-13.8155105579643	0	0	0	-0.0320410387676112	0	0.0320410387676112	0.00243247571991922	IG-D
1	state_03	grey	MFI	59	59	0	0	0	0		-0.109031135929566	0	0.164424118205775	0.0411871743194189	IG-D
1	state_03	leiden1	MFI	60	60	0	0	0	0		-0.10721395033074	0	0.161683716235679	0.0140575567303722	IG-D
1	state_03	leiden2	MFI	60	60	0	0	0	0		-0.10721395033074	0	0.161683716235679	0.0842462588564996	IG-D
1	state_03	leiden3	MFI	60	60	0	0	0	0		-0.10721395033074	0	0.161683716235679	0.125599426608705	IG-D
1	state_03	leiden4	MFI	60	60	0	0	0	0		-0.10721395033074	0	0.161683716235679	0.707099543707937	IG-D
1	state_03	leiden5	MFI	59	59	0.763217951506961	0	3.57377306876419	0	4.68250656540224	0.654186815577395	0	0.98654470923465	0.0268716204144088	IG-D
1	state_03	leiden6	MFI	51	51	0	0	0	0		-0.126134059212635	0	0.190216136747857	0.00243247571991922	IG-D
1	state_03	grey	DCI	59	59	-2.15185589841134	-0.693147180559945	4.60008741443174	1.29867142198338	2.13773023455142	0.831206613256217	1.09799600721629	3.24898019079833	0.0411871743194189	IG-D
1	state_03	leiden1	DCI	60	60	-3.51221773782913	-1.60865482691773	6.02649952741903	3.52454082523765	1.71586728878146	-0.481934064806616	0.220241710896238	3.66582038205214	0.0140575567303722	IG-D
1	state_03	leiden2	DCI	60	60	-1.81166269542628	-0.969908866105638	2.96380367619976	1.40222169330802	1.63595777717462	1.21862097759623	1.67493381531281	2.41472602536791	0.0842462588564996	IG-D
1	state_03	leiden3	DCI	60	60	-1.34956888371689	-0.619608438816018	4.23341809660075	1.39026148659868	3.1368670007724	1.68071478930563	1.41143741240388	3.42835285092332	0.125599426608705	IG-D
1	state_03	leiden4	DCI	60	60	-1.92753556276339	-1.80913607830068	0.554809318050788	0.538923727420465	0.287833505523183	1.10274811025912	0.736470788351265	1.87313586446312	0.707099543707937	IG-D
1	state_03	leiden5	DCI	59	59	-5.2680610814728	-4.28633294575651	6.90410545785403	11.9390455635064	1.31055911294101	-2.2500958992075	-2.56426880402288	5.11743910216061	0.0268716204144088	IG-D
1	state_03	leiden6	DCI	51	51	-5.35177200173751	-2.56930429085491	8.57800827452583	14.2354871101609	1.60283514913208	-2.49989256608111	-0.706214560319094	6.16034621771633	0.00243247571991922	IG-D
1	state_03	grey	MII	59	59	-4.34852686676415	-1.68488794595799	5.04258359584766	1.59884821731539	1.15960732228383	-0.957851833300096	0.590380222234773	2.70148813396375	0.0411871743194189	IG-D
1	state_03	leiden1	MII	60	60	-2.29265893472924	-2.25236741310719	0.709484803841106	0.89367810372379	0.309459376226361	1.06830749786612	0.756297352974686	1.2165531260682	0.0140575567303722	IG-D
1	state_03	leiden2	MII	60	60	-2.77178282737471	-2.79508628770076	0.485731811506597	0.405295173431897	0.175241655554471	0.589183605220651	0.134025650852363	1.09813253235979	0.0842462588564996	IG-D
1	state_03	leiden3	MII	60	60	-2.90728855853198	-2.7886014336381	1.20351205889732	1.8696074894573	0.413963744797672	0.453677874063387	0.320558989517145	1.18744453605901	0.125599426608705	IG-D
