sample	MEturquoise	MEgrey
LV3003046953	-0.0940475628492638	-0.107518458730697
LV3003046939	-0.105309621928958	-0.116939822284271
LV3003047045	-0.107368751380403	-0.116089571813741
LV3003047028	-0.0678691090671887	-0.0603013626395856
LV3003047013	-0.0994384817322588	-0.107553532920646
LV3003046995	-0.120596832171343	-0.123322299986438
LV3003046980	-0.0940230548282845	-0.107061730531358
LV3003046952	-0.0929676735616387	-0.109057249410892
LV3003046938	-0.0710900759246466	-0.0973163584340072
LV3003047044	-0.0183060538648894	-0.0494454618932898
LV3003047027	-0.0549160887689882	-0.088052139791447
LV3003047010	-0.100580543046352	-0.114833566819471
LV3003046994	0.0862301690177677	0.0268423483480904
LV3003046979	-0.0358347395697941	-0.0709613914137956
LV3003046966	0.107637915658382	0.0268423483480904
LV3003046950	0.111181835612114	0.0268423483480904
LV3003046937	0.0924202665501513	0.0268423483480904
LV3003047041	0.121006887349253	0.0268423483480904
LV3003047026	0.114722821493826	0.0268423483480904
LV3003047009	0.0940155474359419	0.0268423483480904
LV3003046993	-0.0270475060683281	-0.0816043881921051
LV3003046978	0.121253660802758	0.0268423483480904
LV3003046965	0.134939769599341	0.0268423483480904
LV3003046949	0.00139065055027891	0.0486014153416259
LV3003046936	0.00998211771760199	0.0536211539200352
LV3003047145	0.100259705550935	0.125555380454476
LV3003047132	0.13451173786993	0.138665441122004
LV3003047118	0.114893911090553	0.130258304504755
LV3003047099	0.0944442731935925	0.0268423483480904
LV3003047071	0.0929012712885334	0.130521628620122
LV3003047169	0.0979906513429457	0.131861647300268
LV3003047156	0.0973206786591153	0.126275759150003
LV3003047144	0.103542989998942	0.135990250013712
LV3003047131	-0.0354140094362451	0.0497198186300249
LV3003047117	-0.0431553555867609	0.0454677555102235
LV3003047098	-0.0269379094007382	0.0654668746712185
LV3003047085	0.0928075360369566	0.141691008897946
LV3003047070	0.0842632377720288	0.0268423483480904
LV3003047168	0.0946980580748753	0.0268423483480904
LV3003047155	0.0795898849239016	0.0268423483480904
LV3003047143	-0.0453388141976596	-0.0688080131152195
LV3003047130	-0.0385232331291603	-0.0596477078112137
LV3003047114	-0.0577027130467099	-0.0714671894961946
LV3003047097	-0.0453598498087511	0.0603295058188198
LV3003047084	-0.0563253731258327	-0.0831684470213102
LV3003047069	0.0819694250481367	0.0268423483480904
LV3003047167	0.0768159762946944	0.0268423483480904
LV3003047154	-0.0364790508912496	-0.0560971405031669
LV3003047142	0.0801526655688584	0.0268423483480904
LV3003047129	0.0879199608562078	0.0268423483480904
LV3003047113	0.0953972320987504	0.0268423483480904
LV3003047096	0.0900937618507892	0.0268423483480904
LV3003047083	-0.0553491320798575	-0.0709310732183537
LV3003047068	-0.0491620010508437	-0.0661444938483576
LV3003047166	-0.0678664703977857	-0.0844607889999834
LV3003047153	-0.0527991974565969	-0.0740780228044497
LV3003047141	0.0531982176942068	0.0268423483480904
LV3003047128	0.0893347934746149	0.0268423483480904
LV3003047112	0.0854746458997979	0.0268423483480904
LV3003047095	-0.0558980458354622	-0.0702790530956445
LV3003047082	-0.0312603824753715	-0.0502426845987016
LV3003047067	-0.0282914333309279	-0.0577169902296289
LV3003047164	-0.0320310203491245	-0.0511197940518234
LV3003047152	-0.064861159410589	-0.0795022081430785
LV3003047140	0.0585921927964144	0.0268423483480904
LV3003047127	-0.0557128794794557	-0.0609874269410107
LV3003047110	0.0746112063676243	0.0268423483480904
LV3003047094	-0.0716603856997857	-0.0830650161322622
LV3003047081	-0.0627526389383727	-0.0805300956236118
LV3003047065	0.0693291363308188	0.140494741738413
LV3003047161	0.05339300764074	0.0268423483480904
LV3003047160	0.0528874980366874	0.0268423483480904
LV3003047159	-0.072457661081573	-0.0792502039908841
LV3003047158	0.076168641258822	0.0268423483480904
LV3003047139	0.074825385446941	0.0268423483480904
LV3003047150	0.0859665419580977	0.0268423483480904
LV3003047149	-0.0497362160905704	-0.0624889157762515
LV3003047148	-0.0583457826316919	-0.0706242974097008
LV3003047147	0.079833255168854	0.0268423483480904
LV3003047146	-0.0436070901095525	-0.0695290248085773
LV3003047126	-0.0682401334240431	-0.0754909600878056
LV3003047138	-0.0968822049500028	0.0135227460370654
LV3003047137	-0.0423918110254286	0.0640928400968545
LV3003047136	-0.100279924513319	0.0118532637694737
LV3003047134	-0.10771271884611	0.0130108572617281
LV3003047133	-0.0792035619602146	0.0309590687530813
LV3003047107	-0.0744331861707093	0.0344987249651697
LV3003047125	-0.0861821521942063	0.0318212155155726
LV3003047124	0.0608535761021433	0.139112246900241
LV3003047123	0.0568508265507755	0.123313814424067
LV3003047122	0.0594702086666066	0.133069856112697
LV3003047093	-0.0702362829974438	0.047256447024778
LV3003047106	-0.0931083376295063	0.0364396703180351
LV3003047105	-0.0580429644304144	0.0571194247500138
LV3003047104	0.06061431966538	0.141243415282311
LV3003047101	-0.0714673937911981	0.0472147920244503
LV3003047100	-0.06712577143327	0.0502674808491756
LV3003047080	-0.0483174266343841	0.0665149972681449
LV3003047091	-0.0792845755245023	0.0432254803137232
LV3003047090	-0.0525235579789404	0.0701903348198028
LV3003047089	-0.0740127012606337	0.0697115358986462
LV3003047088	-0.0668817151519064	0.0601006447677607
LV3003047087	-0.0543286475622438	0.0620248746747885
LV3003047064	0.0535247258272619	0.123931946071131
LV3003047079	-0.0745939905839297	0.0377554403596996
LV3003047078	0.0540836009955265	0.112647387577592
LV3003047077	0.0589495078751835	0.138297649628547
LV3003047074	0.0526396295602589	0.0268423483480904
LV3003047073	0.0520044881371643	0.102854210588297
LV3003047162	0.0547801418506962	0.117876840164148
LV3003047063	0.0549844202057242	0.0268423483480904
LV3003047062	0.058451208875191	0.0268423483480904
LV3003047061	0.0586686925739879	0.124856532029826
LV3003047060	-0.0665177981939201	-0.065133496721125
LV3003047059	-0.0499226065563854	0.0662120927782203
LV7001898100	-0.0985533808320858	-0.11290198805631
LV7001898088	-0.0699318627021657	-0.101203292729898
LV7001898076	0.00557918613389574	-0.0663551151399278
LV7001898064	0.0997295246873092	0.0268423483480904
LV3003061546	0.0842936836236053	0.0268423483480904
LV3003061533	0.092339445756815	0.0268423483480904
LV3003061518	0.00873224624249725	-0.0507504666202173
LV3003061506	0.0843152096348824	0.0268423483480904
LV3003061492	0.133973316702165	0.0268423483480904
LV3003061477	0.127641116883738	0.0268423483480904
LV3003061572	0.00710862436324631	-0.0570106991233923
LV3003061559	-0.0315756295948561	-0.068415292085418
LV3003061545	0.107409310338476	0.0268423483480904
LV3003061531	-0.00715761985140535	-0.0615252259892211
LV3003061517	-0.014389637300764	-0.0647175489251605
LV3003061505	0.0878843647853154	0.0268423483480904
LV3003061488	-0.0256904862453738	-0.0693267092918811
LV3003061476	-0.0558928093759564	-0.083449078672951
LV3003061571	0.0895657165921615	0.0268423483480904
LV3003061558	-0.0445259323068622	-0.0733538885133314
LV3003061544	-0.0579053103007631	-0.0794521618371019
LV3003061530	-0.0275805385839701	-0.0506252038460435
LV3003061516	-0.0383768489672035	-0.0606173017367444
LV3003061504	-0.0298750038310762	-0.05387443230209
LV3003061486	0.0730066967443134	0.0268423483480904
LV3003061475	-0.0227737906828041	-0.0495814616325844
LV3003061570	-0.0717472931878086	-0.0912961336576141
LV3003061557	-0.092104169699836	-0.103103953577069
LV3003061543	-0.0491404282573354	-0.0867199193698525
LV3003061529	-0.0593866797905193	-0.0975205635040281
LV3003061515	-0.0914578899198572	-0.130390082137517
LV3003061503	-0.0735829419689881	-0.103189804725571
LV3003061485	-0.0729706171546957	-0.113117146337963
LV3003061474	-0.0858586632702103	-0.104427955816911
LV3003061569	-0.0930913323281217	-0.112887528246096
LV3003061556	-0.0854504450470081	-0.0981838985353292
LV3003061541	-0.0487224634916616	-0.0752013429204499
LV3003061528	-0.0761148495459698	-0.108266421757652
LV3003061514	-0.0545762285495613	-0.100642278966938
LV3003061501	-0.0193835135719717	-0.0529428064775706
LV3003061489	-0.0661158441175599	-0.0722076873560345
LV3003061473	0.0626670429379757	0.0268423483480904
LV3003061568	0.055049764149982	0.0268423483480904
LV3003061555	0.0580140953888323	0.0268423483480904
LV3003061539	0.0777192180720625	0.0268423483480904
LV3003061527	0.0546244532841226	0.0268423483480904
LV3003061513	0.0755230918307668	0.0268423483480904
LV3003061500	0.0863404755810759	0.0268423483480904
LV7008886714	-0.0800844900009101	-0.0959258957240505
LV7008886690	0.0733710348519181	0.0268423483480904
LV7008886751	0.0893878981279965	0.0268423483480904
LV7008886727	0.120838454794928	0.0268423483480904
LV7008886703	-0.00682852182579964	-0.0517148745176486
LV7008886776	-0.0364605519227923	-0.0781036733954958
LV7008886740	-0.019874187950889	-0.0497161783363483
LV7008886221	-0.0434501374254226	-0.0639467789315464
LV7008886692	0.0736707558628601	0.0268423483480904
LV7008886765	-0.0508613595246126	-0.0730431629693451
LV7008886741	0.0574543484883346	0.0268423483480904
LV7008886705	-0.0456059966992113	-0.0525084044729263
LV7008886778	-0.0817143926416332	0.0466675595183221
LV7008886754	-0.05858552465815	0.0635541548098728
LV7008886730	-0.0461631801959763	0.0812509055336927
LV7008886706	-0.067396999760365	0.0667775496951238
LV7008886743	-0.0671790502986564	0.0768106597652016
LV7008886719	-0.0439032457671999	0.0915656076158447
LV7008886695	-0.0497961261666888	0.0823878604077462
LV7008886768	-0.0690258851316521	0.0646206717795048
LV7008886744	-0.034778177679724	0.100765748297162
LV7008886708	-0.0489106883218311	0.0882744161576825
LV7008886781	0.0558140140326094	0.0268423483480904
LV7008886757	0.0578055761561798	0.0268423483480904
LV7008886222	0.077176634177227	0.0268423483480904
LV7008886709	-0.0382156794283509	-0.0560111169617597
LV7008886726	-0.198227750148762	-0.359621261335142
LV7008886702	0.336183610931312	0.0399275627821131
LV7008886763	0.270520421339623	0.0399275627821131
LV7008886739	0.448449093856467	0.0399275627821131
LV7008886715	0.0293317747774588	-0.228869261919626
LV7008886226	-0.0431883185285831	-0.225166226634775
LV7008886752	-0.0246860372792257	-0.218627629440819
LV7008886728	0.297892218152945	0.0399275627821131
LV7008886704	-0.107936907778922	-0.267691237662914
LV7008886753	-0.180285353711256	-0.312911971821842
LV7008886717	-0.168834617397211	-0.31320569537318
LV7008886229	-0.111115277988662	0.170544298682166
LV7008886766	-0.20889865243113	0.10233501372204
LV7008886742	-0.0205774861337722	0.236169010529207
LV7008886718	-0.201166348421453	0.137027995098759
LV7008886755	-0.163097638451429	0.177489873910103
LV7008886731	-0.139980982032037	0.211868126091358
LV7008886707	-0.0939776786646082	0.227752308757879
LV7008886780	-0.15189461953746	0.161941455766865
LV7008886756	-0.127474113933013	0.220526527835863
LV7008886720	-0.0930853948728074	0.249203815271125
LV7008886228	0.219839596337488	0.0399275627821131
LV7008886769	0.240117985059691	0.0399275627821131
LV7008886745	-0.109306026617607	-0.248258080951859
LV7008886721	0.301398503472953	0.0399275627821131
