sample	MEcyan	MEpink	MEpurple	MEblack	MEtan	MEgreen	MEyellow	MEmagenta	MEturquoise	MEblue	MEbrown	MEred	MEgreenyellow	MEsalmon	MEgrey
LV3003046953	0.0675414788978126	0.126289563000205	0.0474336989036724	-0.0266938066022305	-0.0253543313002736	-0.0428384703609352	0.081468393853849	-0.00238688601000465	0.00673786839194102	0.0247380616640731	0.010348755550455	-0.0421527534540135	0.016244196679058	3.10383543541386e-05	-0.0325423459714142
LV3003046939	0.170703477408028	0.135677717314797	0.117589941094622	-0.0321436305417794	-0.0283090179994706	-0.0301873491542934	0.0858163040871296	-0.0169155313293047	-0.00555436968942702	0.0219062543392515	0.0153179695996772	-0.046254868302268	0.00841272504950445	-0.00441116261213488	-0.0345555069520677
LV3003047045	0.138113414402304	0.153276417166396	0.118382986206503	-0.0325349774301459	-0.0283090179994706	-0.0274712164309856	0.0850386997007097	-0.0151707810750874	-0.0199504320652317	0.0159153696935294	0.00433208541713753	-0.0532227057012002	0.00336605663564993	-0.0217250906404411	-0.0380310404137981
LV3003047028	-0.0301447759759989	-0.0541540954256528	-0.0322242334409148	-0.0361069409406146	-0.0283090179994709	-0.0494790801280516	-0.0653174018529304	-0.0548312395262191	-0.0382562334269976	-0.154471919223342	-0.18458321820664	-0.0754408313624072	-0.126858579816609	-0.124982216871319	-0.0295665645187765
LV3003047013	0.206001112317521	0.141221279554856	0.156705004398969	-0.0325787065555134	-0.0283090179994706	-0.0391124426415903	0.0465743604748445	-0.0352313420935217	-0.0165417229430038	0.00426499273694446	-0.00027247364023305	-0.0723962884565654	-0.0292533266057729	-0.0427130099640554	-0.0410732574802459
LV3003046995	0.111872641675368	0.147041105123143	0.124540468303713	-0.0337412212972872	-0.0283090179994707	-0.0416161995468599	0.0852070694993319	-0.0304916544947977	-0.0205681766257772	0.0083655096598971	0.00295409679182241	-0.0580225941134417	-0.00442136322101361	-0.0291108969552288	-0.0346717968705919
LV3003046980	0.283810710392769	0.142977876179535	0.180932577194291	-0.0323003301759942	-0.0283090179994706	-0.0461906933350012	0.0943322433600343	-0.0267645209624124	-0.0202558113481074	-2.50598389367259e-05	-0.0141344959717145	-0.0682831463660804	-0.0162019155712224	-0.0455502641938234	-0.0430691083820489
LV3003046952	0.302461633416822	0.158714235421236	0.199711073882264	-0.0347933103012047	-0.0243898888128719	-0.0143286020523471	0.0948247999335714	-0.0187172345192261	-0.0111611141189386	-0.0193409321993822	-0.0200252327713414	-0.0632587611805594	-0.0313012251474286	-0.0242588747029508	-0.0443849594876214
LV3003046938	0.31344735200656	0.158993548838298	0.267519838546833	-0.0361069409406146	-0.0283090179994706	0.0158796566909935	0.112749435713444	-0.0165801367742618	-0.00242885322241293	0.0050652111064271	-0.0160986291546095	-0.0493723794910067	0.00560030540482967	-0.0060711936890014	-0.0491710957982774
LV3003047044	-0.0155312199844102	-0.0492813552125471	-0.0280383853564715	-0.0252715243730551	-0.0256538527526676	0.10338050059954	-0.00796088069758956	0.000347268909144006	-0.0329250444446451	0.0123027666458129	0.00823875149758538	0.111171674030972	0.0536058395207158	0.0600145564552512	-0.0374867139706328
LV3003047027	0.256578628470033	0.144318049607814	0.230470285405247	-0.0278730833791047	-0.0223590833352116	0.0110505079122778	0.123633698029969	0.00324938091314514	0.000227208624118228	0.0223877529369323	0.00397864884049631	0.0167203056224071	0.022625317542257	0.0314946162012561	-0.0417852740226843
LV3003047010	0.288876871940566	0.145626703507872	0.214959556482966	-0.0321403237555258	-0.0283090179994706	-0.0330238160990675	0.0849659519910237	-0.00382977749343077	0.00497630032310159	0.00376214246632921	-0.0158291590469603	-0.0650635459719163	-0.0129330653678982	-0.0240632508757742	-0.0455821093019999
LV3003046994	-0.0250604159811383	-0.0563218928096369	-0.029311688671338	0.271726376961811	0.259181587527391	-0.046544825798168	-0.0514041366575093	-0.0468248571945005	-0.0308589644783969	-0.0355723768002914	-0.000332140072915485	-0.00781468405490552	-0.0241562821294913	-0.0272392971034824	0.0111868457479904
LV3003046979	-0.0174212595854933	0.0850917576336036	0.0535434227899049	0.13699906514451	0.0220813511953788	0.000952566338399809	0.0379822210225745	0.0117703549470892	-0.0189538414869631	0.0273575863908679	0.0255051553894452	0.0493629585364253	0.0451430130578688	0.0661140489808694	-0.010893512486787
