comparison_scope	index	nondmg_mean	nondmg_median	brown_mean	brown_median	diff_mean_brown_minus_nondmg	abs_diff_mean	rank_abs_diff_among_modules	n_samples	mean_diff_brown_minus_nondmg	median_diff_brown_minus_nondmg	rmse	pearson	spearman	n_indices	euclidean	manhattan	cosine_similarity
per_index_aggregate	OAP	36.8356474365324	22.6881718875394	193.891883072952	189.898346835828	157.05623563642	157.05623563642	1										
per_index_aggregate	MGI	-13.2606802326125	-13.8155105579643	-10.1468925098059	-13.8155105579643	3.11378772280658	3.11378772280658	1										
per_index_aggregate	MFI	3.63436003594867	5.73382578186105	-2.07738680940707	0	-5.71174684535574	5.71174684535574	1										
per_index_aggregate	DCI	-2.91358815945063	-2.12310099828207	-6.25066063871968	-2.10679410723176	-3.33707247926905	3.33707247926905	1										
per_index_aggregate	MII	-1.22867872188267	-1.21847692669227	-2.88434187387635	-1.18417506644798	-1.65566315199368	1.65566315199368	1										
per_index_aggregate	SRPI	-0.61365582365066	-0.576471927392136	-1.93275288931797	-0.714564248023138	-1.31909706566731	1.31909706566731	1										
sample_matched	OAP								138	146.579812850749	161.35559143321	365.890474055468	-0.0643056805741827	-0.0720641965531632				
sample_matched	MGI								138	2.8711162278491	-2.66453525910038e-14	7.01643056984515	0.0172017154043453	0.0101703978331523				
sample_matched	MFI								138	-6.40649790097846	-6.50657309577609	8.92262742386974	0.0800300833708131	0.0649685277124398				
sample_matched	DCI								138	-4.10192788285571	-0.393649292189673	7.80396536831625	0.111298564652009	0.195972946811243				
sample_matched	MII								138	-1.6941221457401	-0.143953857284638	8.76363192286894	-0.00134613084672877	-0.0954726623744599				
sample_matched	SRPI								138	-1.29550315230783	-0.212341000672304	3.42040591404879	-0.0550102214546141	-0.0351076644743921				
aggregate_vector								1					0.955998718778481	0.942857142857143	6	157.240574180344	172.193602901512	0.9513337055321
