n_indices	euclidean	manhattan	cosine_similarity	pearson	spearman	module	rank_by_euclidean
6	157.240574180344	172.193602901512	0.9513337055321	0.955998718778481	0.942857142857143	brown	1
6	345.302826730617	350.16628604237	0.94555251117974	0.954462685902333	1	grey	2
6	356.633371599972	363.711211433356	0.945639965840441	0.95411944940192	0.942857142857143	turquoise	3
6	540.226118771945	549.483382645148	0.941938578575834	0.951151665937079	0.942857142857143	yellow	4
6	579.661765493659	595.37194208189	0.941648311562865	0.950169146869578	0.828571428571429	blue	5
6	651.977176806007	672.714502753306	0.94119212064329	0.949212456255897	0.828571428571429	green	6
