state	state_label	module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	specialization_abs_centered_mean	mean_module_abundance
3	IG-A	turquoise	SRPI	32	32	-0.812146053440298	-0.787684828139713	0.156993396236889	0.191085996458815	0.193306851116072	0.462260087767448	0.169432659108928	0.462628619458163	0.582619269396638
3	IG-A	yellow	SRPI	32	32	-1.0827399256054	-1.07736651696551	0.176323167044232	0.223198955800225	0.162849048856902	0.191666215602346	0.0518807401337798	0.358814172119642	0.0666429859452034
4	IG-B	blue	SRPI	33	33	-3.65418632262348	-1.74976240072493	3.4801124135817	7.74079371505484	0.952363154564925	-1.97229659957528	-0.65584943277114	2.23886719375763	0.00261117167484127
4	IG-B	brown	SRPI	24	24	-3.00419787618675	-0.796359602056641	3.87040858934284	5.41848619422446	1.28833344168913	-1.43931541346059	0.192501395203302	2.30772083252731	0.00169710702698156
4	IG-B	green	SRPI	43	43	-1.4506227690212	-1.43527181100676	0.291548563359051	0.385675944939795	0.200981653938723	0.0695568028927721	-0.305472432757358	0.74365874895863	0.0362565516658289
4	IG-B	grey	SRPI	43	43	-0.459170751260097	-0.39594415165627	0.234021271719957	0.303382440438907	0.509660667796751	1.06100882065387	0.67522481570192	1.06100882065387	0.341571290156376
4	IG-B	turquoise	SRPI	43	43	-0.762575256623269	-0.745774640976826	0.096153010942158	0.112559317441639	0.126089864714375	0.757604315290702	0.315125679044268	0.762690894047165	0.580391945781092
4	IG-B	yellow	SRPI	43	43	-1.09138770356438	-1.12252772351861	0.194638063663804	0.222197181521735	0.178339982233749	0.428791868349593	-0.00633974612931598	0.633715229008177	0.038829067421882
5	IG-C	blue	SRPI	13	13	-2.6540387016697	-2.0683686829775	2.04190272246703	0.82517035741782	0.769356799952628	-1.23528727065241	-0.703593108596709	1.38243312102066	0.00330698039360187
5	IG-C	brown	SRPI	4	4	-4.45230295033779	-4.80564905253636	5.52432524284962	9.16272874107821	1.24077927860468	-2.79751060956281	-3.03392238613769	3.94580415110627	0.000295340014485379
5	IG-C	green	SRPI	13	13	-1.31105743738892	-1.2923677778418	0.15544676247667	0.12684710039274	0.118565943827949	0.107693993628374	-0.194049655213544	0.465294830334708	0.100148521809168
5	IG-C	grey	SRPI	13	13	-0.587510512333712	-0.586872857231704	0.624758540036964	1.19131165221627	1.06339976378515	0.831240918683584	0.699312471851007	0.905556272962942	0.245039555317557
5	IG-C	turquoise	SRPI	13	13	-0.872497381234789	-0.860474266297072	0.117606854970857	0.144321225913388	0.134793361562204	0.546254049782507	0.279416541332162	0.604586166113613	0.628767326266568
5	IG-C	yellow	SRPI	13	13	-0.807880627209261	-0.862097496851778	0.192225410976072	0.222109633612086	0.237937888967699	0.610870803808035	0.35980174284681	0.610870803808035	0.0226467423624946
