taxon	exclusion_reason	exclusion_detail	phylum	functional_group	display_category	ecological_role	signal_source	confidence_score	n_samples	total_reads
S__GCA_016649475.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	8	1201
S__3300000130_7	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Desulfobacterota	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	7	1178
S__3300020344_6	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	8	1111
S__3300027868_13	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Desulfobacterota_E	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	7	1008
S__GCA_003233115.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	4	983
S__3300027858_28	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Sediment_heterotroph	Diagenetic	Sediment_resident	benthic_resident	0.85	3	972
S__GCA_016222905.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Nitrospirota	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	6	911
S__3300028028_11	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Nitrospirota	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	4	905
S__GCA_018650845.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	7	887
S__GCA_018651405.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Desulfobacterota	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	3	844
