module	proxy	beta_full	p_full	beta_leave_ST8	p_leave_ST8	beta_leave_ST13	p_leave_ST13	beta_leave_GeoB25202_R1	p_leave_GeoB25202_R1	q_full	sign_preserved_all	all_leave_p_lt_010	stability_flag
MEyellow	ba_ti_z	0.121380787421408	0.110273806207419	0.0202635168169129	0.872845626243061	0.140528895565455	0.103563485844559	0.146945778980294	0.0694731562030771	0.137842257759274	TRUE	FALSE	unstable_or_mixed
MEyellow	ca_ti_z	0.683005775918315	1.90936922589428e-25	0.869988762858644	3.33939430655872e-17	0.620844531599242	2.39837866919146e-16	0.654158595458363	1.16311029673836e-20	3.81873845178857e-24	TRUE	TRUE	stable
MEyellow	zr_rb_z	0.281771440305807	9.05559023659712e-05	0.132488846983714	0.269775545168154	0.288916598826253	0.000461530203911761	0.341330334299622	7.04846154334239e-06	0.000362223609463885	TRUE	FALSE	unstable_or_mixed
MEyellow	ti_al_z	-0.316548545618918	2.96271134771317e-05	-0.216421440205774	0.0958507536100966	-0.260862674712993	0.00225752604186778	-0.404598390173637	4.53918748417411e-07	0.000148135567385659	TRUE	TRUE	stable
MEyellow	mn_fe_z	0.401251224560254	2.18750710459635e-08	0.325361416986905	0.00806661945319096	0.4432674388797	4.10882515038621e-08	0.387289271732442	3.67834071662373e-07	2.18750710459635e-07	TRUE	TRUE	stable
MEblue	ba_ti_z	-0.19233318195021	0.0072660268621238	-0.287473716080441	0.0137872550146642	-0.165518912088783	0.0473709383886339	-0.1753934765789	0.0219537425530488	0.0145320537242476	TRUE	TRUE	stable
MEblue	ca_ti_z	-0.121439232257385	0.0886227617837645	-0.103467871191944	0.400036719312215	-0.124998187591028	0.128798328089234	-0.129082412999901	0.0874839434846873	0.118163682378353	TRUE	FALSE	unstable_or_mixed
MEblue	zr_rb_z	-0.0972925783223355	0.160868609428824	-0.114136662247242	0.30697657950737	-0.0904325409947237	0.267008552683261	-0.0953132586770361	0.198901367997421	0.189257187563323	TRUE	FALSE	unstable_or_mixed
MEblue	ti_al_z	0.16641807416845	0.0228308048533718	0.184925530824278	0.131747059554098	0.162737149417544	0.0516493054909887	0.163121309911371	0.0380034845031395	0.0351243151590336	TRUE	FALSE	unstable_or_mixed
MEblue	mn_fe_z	-0.0854755760767311	0.227416917551919	-0.0677014008163164	0.568017346994789	-0.12276408801456	0.136058798527748	-0.0630466289876337	0.401403343696253	0.252685463946576	TRUE	FALSE	unstable_or_mixed
MEbrown	ba_ti_z	-0.204394830948399	0.000610285098196999	-0.194224508940381	0.0791522231167274	-0.22361523532517	0.000804451857915852	-0.192673318446168	0.00133611001038572	0.00174367170913428	TRUE	TRUE	stable
MEbrown	ca_ti_z	-0.016896468574984	0.778129821464357	0.207178974504537	0.069645697114095	-0.0843228502274208	0.20656066387024	-0.063228594847412	0.291189592194887	0.778129821464357	FALSE	FALSE	unstable_or_mixed
MEbrown	zr_rb_z	-0.273285111951587	1.37643606207622e-06	-0.194004604132088	0.0613679330439542	-0.352895745072238	1.96423178259968e-08	-0.240466059243412	2.63884628110167e-05	9.17624041384149e-06	TRUE	TRUE	stable
MEbrown	ti_al_z	0.166243669253205	0.00646756192422572	0.0943146571694905	0.415015588013401	0.209393587993756	0.0017792215886526	0.161906822409699	0.00893156530346048	0.0143723598316127	TRUE	FALSE	unstable_or_mixed
MEbrown	mn_fe_z	-0.140630734013931	0.0170907081822892	-0.17373031747187	0.115251304237452	-0.126729140048359	0.0568696530156869	-0.151400849879509	0.010109455859688	0.0284845136371486	TRUE	FALSE	unstable_or_mixed
MEturquoise	ba_ti_z	-0.230005630100015	0.000189656321873986	-0.219610646170225	0.0491820736750182	-0.256350720077171	0.000247863909128777	-0.212098976659725	0.000692860289046818	0.000632187739579955	TRUE	TRUE	stable
MEturquoise	ca_ti_z	0.188715213881795	0.00209901679632231	0.407098656675876	0.000261010137281059	0.139498862646758	0.046169030975769	0.132592731915276	0.0328662812378535	0.00524754199080578	TRUE	TRUE	stable
MEturquoise	zr_rb_z	-0.131499627618141	0.0281516086924053	-0.0597113291896245	0.572598637664378	-0.21543377157183	0.00160458183976149	-0.0910157806301291	0.136554729603383	0.0402165838462933	TRUE	FALSE	unstable_or_mixed
MEturquoise	ti_al_z	0.156056417871543	0.013810009170534	0.180289379443945	0.121312019962614	0.216448420446225	0.00216481354083279	0.0950400199070521	0.144094450601341	0.0251091075827891	TRUE	FALSE	unstable_or_mixed
MEturquoise	mn_fe_z	0.0213665320639729	0.728601400649268	0.0280755623910607	0.803138421126481	0.0552164681462192	0.433104633008069	-0.0211092194483972	0.733606930708698	0.766948842788703	FALSE	FALSE	unstable_or_mixed
