sample	MEpink	MEyellow	MEblack	MEgreen	MEturquoise	MEred	MEblue	MEbrown	MEgrey
LV3003046953	0.0751930969438596	0.108654439870156	-0.0389825907299601	-0.0259695552698952	0.0347334294229549	0.0498617706283744	-0.0105541062287438	-0.00800129954230244	-0.0311414430799652
LV3003046939	0.173184538962807	0.139906952717404	-0.0277490737964915	-0.0318438291087181	0.0315869917655145	0.0554463859564878	-0.0280231962856407	-0.0100558756598534	-0.0325986308617326
LV3003047045	0.157379196699841	0.133648618133988	-0.025680111552952	-0.0312312674270255	0.0186268550205444	0.0528195675079932	-0.0340521775354515	-0.0190124694873625	-0.0346309693278022
LV3003047028	-0.0298954588238713	-0.0497594870080388	-0.0466096198164224	-0.033329110812266	-0.155522915167971	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.030800058227118
LV3003047013	0.21918878448224	0.125063477961949	-0.0358470840675864	-0.0320712076030603	-0.00484015112334147	0.0230563262192016	-0.0542776179483903	-0.0107948566571441	-0.0366655650888055
LV3003046995	0.140103195432816	0.114800315629403	-0.0377330052503621	-0.0313325858415213	0.00506916180696095	0.053099826482681	-0.0375511748455359	-0.0217486099508183	-0.0325071609559284
LV3003046980	0.273347946802297	0.149731751069099	-0.0466096198164225	-0.0310943703648693	0.00241024204872031	0.0569172485724178	-0.0446360755312462	-0.0157338531834065	-0.0387157786797843
LV3003046952	0.302984916338605	0.193124513784116	-0.0234817259083846	-0.033329110812266	0.00547145867273446	0.0646452874101463	-0.0285045050053656	-0.00996520405871766	-0.0401333498901505
LV3003046938	0.306593259149046	0.211626515725697	0.0161544482501538	-0.033329110812266	0.0244362392381442	0.0859238529783561	-0.0205492783728708	-0.00392937588309228	-0.0444595471529945
LV3003047044	-0.0157217035176054	-0.0418926071993634	0.0774296709764667	-0.0265649395790228	0.0152595331316243	-0.0108035590602847	0.030325493525395	-0.0286589273589485	-0.0339999662636944
LV3003047027	0.255214162177538	0.182751465421172	0.0121350041150176	-0.0275808452023824	0.0417726167504981	0.097377804680219	0.0203736766622096	-0.00806028073783135	-0.0388396367176383
LV3003047010	0.303695254284001	0.173704675554125	-0.0344442375728653	-0.0301908666868333	0.0112016479289337	0.0720441863746947	-0.0234483127436382	-0.00308550232269344	-0.0413850115045817
LV3003046994	-0.0274082526804977	-0.0463527813895264	-0.0466096198164225	0.241385535000217	-0.0120972083302438	-0.0407493061750221	-0.0271154212834423	-0.0241928215507541	0.00860422432390242
LV3003046979	0.0178297770835019	0.0638544490301957	-0.0112177865438626	0.0916875802659457	0.0452801946279326	0.0287936671706009	0.0210916441989853	-0.0128879875852299	-0.0134194176504935
LV3003046966	-0.0200226640786206	-0.0387481714224187	0.0943403105716839	0.0447746286422692	0.0625951799217195	0.0437332972434026	0.128150853313617	0.0354031763061643	-0.0262783719132751
LV3003046950	-0.0240236808286574	-0.0211228811108085	0.0542607507180251	0.029068961082352	0.0737890090640477	0.0997709619805511	0.137779592950642	0.0741200051562692	-0.0322844752531398
LV3003046937	-0.0298954588238714	-0.0385430249260319	-0.0240914328278034	0.00470074459676634	0.047770870132824	0.0160737875096526	0.0401126916894188	-0.00114471693242243	-0.0261751133437918
LV3003047041	-0.0298954588238713	-0.00573045049081199	-0.0193440955476932	0.153638514909851	0.0958705052473084	0.145351666964992	0.170857590278789	0.159938981122845	-0.0193715959145244
LV3003047026	-0.0298954588238713	-0.00952810193797004	-0.0466096198164225	0.336134577155072	0.065881438124155	0.0704204933911256	0.0595292931797394	0.0603581724618075	0.0217934626963139
LV3003047009	-0.0298954588238713	-0.050706401304758	-0.0466096198164225	0.285539981688835	0.0135560351373241	-0.0128293933997711	-0.00714229087920003	0.0115735479042159	0.0111896004628048
LV3003046993	0.252051463055625	0.157681665152034	-0.0466096198164225	0.331858945914445	0.062627755095788	0.120770114678108	0.0645780194305716	0.0712185845055816	-0.012221344095764
LV3003046978	-0.0298954588238713	-0.0236508330739141	-0.0142998559278621	0.10520155846841	0.0894113142668011	0.1444898931067	0.165837417477123	0.186315269665021	0.0135444901569494
LV3003046965	-0.00475374703977606	0.00731174356945284	0.054970208107952	0.11001208361877	0.107488393343748	0.17997996441837	0.220063199965271	0.307441411813267	-0.0199908113160933
LV3003046949	-0.0251881251577324	-0.019049576911568	-0.00908969411021356	0.0268671589492317	0.0850612943638246	0.130107371771037	0.175578933109162	0.199168750505881	-0.0133581694789005
LV3003046936	-0.0298954588238713	-0.0113430768412326	0.0179722297584122	0.0746614816876741	0.106218059179113	0.173480211439995	0.209190715005359	0.266266391138404	-0.0242144780837142
LV3003047145	-0.0298954588238713	-0.0400577485493461	-0.0466096198164225	0.188259573836664	0.0523181545891168	0.0238972318397051	0.0459284500406964	0.00552487334348995	0.00304402601391221
LV3003047132	0.00271748247222274	0.00408449770670962	0.112988148468387	0.040106275992575	0.111629215345378	0.182841740800801	0.221332713619929	0.294752870462589	-0.0221459516731634
LV3003047118	-0.0298954588238713	-0.0105759705589006	-0.0268490603282559	0.0162248074619734	0.0855237575349321	0.132520508364225	0.147486606795342	0.175126327413975	-0.0182205053017716
LV3003047099	-0.0218138932853986	-0.0467398690398708	-0.00136589747556135	-0.0148655552075625	0.0461216603626872	0.0151853742376785	0.0600708109729373	0.00250735892531464	-0.0201408907492939
LV3003047071	-0.0222982867218957	-0.0545953687777473	0.108072628879444	-0.0235092256988763	0.0373311143476724	-0.0354960172756933	0.062174730510384	-0.021270126601407	-0.0181662511481616
