core	n_samples	age_min	age_max	age_span_kyr	median_spacing_kyr	samples_per_10k	low_detection_pct	sequencing_attention_pct
GeoB25202_R1	26	0.692	147.206	146.514	4.8095	1.7745744433979	15.3846153846154	0
GeoB25202_R2	26	0.692	147.206	146.514	4.8095	1.7745744433979	7.69230769230769	0
ST13	48	5.659	148.086	142.427	2.373	3.37014751416515	8.33333333333333	0
ST8	118	1.5215	107.683	106.1615	0.930400000000006	11.1151406112385	22.8813559322034	2.54237288135593
