source	method_family	setting_id	comparison_id	power	deepSplit	mergeCutHeight	minModuleSize	bio_median_assigned_kME	bio_p05_assigned_kME	bio_frac_assigned_kME_lt_0_2	bio_frac_negative_assigned_kME	bio_frac_assigned_is_max_kME	bio_median_kME_margin	bio_n_strong_hubs	grey_max_bio_kME_median	grey_rescuable_fraction	within_tom_median	between_tom_median	tom_separation_ratio	tom_silhouette_like	within_edge_fraction_top_0_5pct	bio_within_edge_fraction_top_0_5pct	modularity_top_0_5pct	largest_component_fraction_top_0_5pct	isolate_fraction_top_0_5pct
original	original_best	exp3	exp3	12	3	0.25	20	0.702840613526244	0.383450586703463	0	0	0.829953198127925	0.118164732525828	651	0.265898423932263	0.180582524271845	0.0433089160786511	0.0122631924411013	3.53161840089021	0.716843699832368	0.995166687321849	0.998877245508982	0.190474272330799	0.13132999443517	0.805787423483584
original	original_candidates	exp4	exp4	12	3	0.2	20	0.709698109590417	0.391065528126466	0	0	0.791731669266771	0.0716032139667393	670	0.27098391860615	0.180582524271845	0.0408032351367377	0.013435958102339	3.03686829223101	0.670713411392182	0.736274631304994	0.738273453093813	0.180236334018446	0.13132999443517	0.805787423483584
original	original_candidates	opt5	opt5	12	1	0.2	20	0.689156596790696	0.384057729048799	0	0	0.837974683544304	0.092719077583249	559	0.24432359454191	0.160130718954248	0.0340785855518024	0.0137046664829972	2.48664099882198	0.597851076824625	0.736274631304994	0.738273453093813	0.180236232841465	0.13132999443517	0.805787423483584
original	original_candidates	exp1	exp1	12	2	0.25	30	0.696809981542851	0.375414445831735	0	0	0.846666666666667	0.128675428603252	589	0.25014522452928	0.154103852596315	0.0399929025404361	0.0127234055785048	3.14325455505411	0.681858410610723	0.995166687321849	0.998877245508982	0.190474272330799	0.13132999443517	0.805787423483584
original	original_candidates	opt3	opt3	12	1	0.15	20	0.689156596790696	0.384057729048799	0	0	0.837974683544304	0.092719077583249	559	0.24432359454191	0.160130718954248	0.0340785855518024	0.0137046664829972	2.48664099882198	0.597851076824625	0.736274631304994	0.738273453093813	0.180236232841465	0.13132999443517	0.805787423483584
original	original_candidates	opt4	opt4	12	1	0.15	30	0.689156596790696	0.384057729048799	0	0	0.837974683544304	0.092719077583249	559	0.24432359454191	0.160130718954248	0.0340785855518024	0.0137046664829972	2.48664099882198	0.597851076824625	0.736274631304994	0.738273453093813	0.180236232841465	0.13132999443517	0.805787423483584
original	original_candidates	opt2	opt2	12	1	0.1	30	0.689156596790696	0.384057729048799	0	0	0.837974683544304	0.092719077583249	559	0.24432359454191	0.160130718954248	0.0340785855518024	0.0137046664829972	2.48664099882198	0.597851076824625	0.736274631304994	0.738273453093813	0.180236232841465	0.13132999443517	0.805787423483584
original	original_candidates	opt1	opt1	12	1	0.1	20	0.689156596790696	0.384057729048799	0	0	0.837974683544304	0.092719077583249	559	0.24432359454191	0.160130718954248	0.0340785855518024	0.0137046664829972	2.48664099882198	0.597851076824625	0.736274631304994	0.738273453093813	0.180236232841465	0.13132999443517	0.805787423483584
original	original_candidates	exp2	exp2	12	2	0.25	20	0.691360901850272	0.382479748250822	0	0	0.846153846153846	0.132798544128062	612	0.263683450296615	0.181644359464627	0.0394629793986597	0.0117116777146716	3.36954109907099	0.703223682217229	0.995166687321849	0.998877245508982	0.190474272330799	0.13132999443517	0.805787423483584
original	original_baseline	baseline	baseline	20	2	0.15	20	0.783047264002319	0.601732996623819	0	0	0.896838602329451	0.122440065866913	456	0.427600639647018	0.37876254180602	0.0330813259384511	0.000689038986670298	48.0108188047717	0.979171361270335	0.761432643450242	0.76899501979313	0.239563505996257	0.129104062326099	0.746800222593211
