source	method_family	setting_id	comparison_id	power	deepSplit	mergeCutHeight	minModuleSize	method_setting	non_grey_modules	grey_pct	bio_pres_strong	bio_pres_moderate	mean_concordance_pearson	mean_concordance_spearman	mean_concordance_rmse	mean_bootstrap_jaccard	mean_balanced_jaccard	n_boot_requested	n_boot_successful	n_boot_failed	rank	train_samples	min_core_n	max_core_n	st8_n	st8_fraction	core_n_cv	age_bin_count_cv_mean	age_bin_count_cv_median	n_age_bins	bio_median_assigned_kME	bio_p05_assigned_kME	bio_frac_assigned_kME_lt_0_2	bio_frac_negative_assigned_kME	bio_frac_assigned_is_max_kME	bio_median_kME_margin	bio_n_strong_hubs	grey_max_bio_kME_median	grey_rescuable_fraction	within_tom_median	between_tom_median	tom_separation_ratio	tom_silhouette_like	within_edge_fraction_top_0_5pct	bio_within_edge_fraction_top_0_5pct	modularity_top_0_5pct	largest_component_fraction_top_0_5pct	isolate_fraction_top_0_5pct	n_st8	n_core_cv	n_age_cv	n_grey	n_boot	n_conc	n_kme_med	n_kme_p05	n_tom_sep	n_bio_edges	score_sampling_fairness	score_network_qc	score_kme_topology	tiered_summary_score	tiered_rank	method_label	display_order
balanced	balanced_best	top3	balanced_top3	12	1	0.25	30	top3	5	48.5253199777407	4	1	0.834952110570278	0.769428533142851	0.0982423130467183	0.603578441776752		500	500	0	1	57	19	19	19	0.333333333333333	0	0	0	11	0.70588222122853	0.369765637196462	0.00648648648648649	0	0.875675675675676	0.182709409942707	482	0.407719726082663	0.340596330275229	0.0385505263552567	0.0147804034686654	2.60821881060177	0.616596584636517	0.898996158136076	0.963535312457639	0.152748014525404	0.13132999443517	0.805787423483584	1	1	1	0.475770925110131	1	0.764795372355001	0.178139371404574	0	0.0026706207039702	0.915688270254165	1	0.746855432488377	0.274124565590677	0.693636771048135	2	balanced_best_top3	1
original	original_best	exp3	exp3	12	3	0.25	20	exp3	8	28.6588759042849	6	2	0.856836697652229	0.740248564152451	0.0886377786351237	0.400339052880668	0.517143211701409				1	189	26	115	115	0.608465608465609	0.735830284857096	0.919624710082335	0.866025403784439	15	0.702840613526244	0.383450586703463	0	0	0.829953198127925	0.118164732525828	651	0.265898423932263	0.180582524271845	0.0433089160786511	0.0122631924411013	3.53161840089021	0.716843699832368	0.995166687321849	0.998877245508982	0.190474272330799	0.13132999443517	0.805787423483584	0	0	0	1	0.256162377897915	0.902707284955034	0.145744163311842	0.0589951514764182	0.0229543388245807	1	0	0.719623220950983	0.30692341340321	0.343945151353807	8	original_best_exp3	2
original	original_baseline	baseline	baseline	20	2	0.15	20	baseline	5	66.5553700612131	4	1	0.847279795668254	0.695865991173363	0.0970979957954898	0.35113007106111	0.349356040242303				10	189	26	115	115	0.608465608465609	0.735830284857096	0.919624710082335	0.866025403784439	15	0.783047264002319	0.601732996623819	0	0	0.896838602329451	0.122440065866913	456	0.427600639647018	0.37876254180602	0.0330813259384511	0.000689038986670298	48.0108188047717	0.979171361270335	0.761432643450242	0.76899501979313	0.239563505996257	0.129104062326099	0.746800222593211	0	0	0	0	0.0760619937079184	0.842481765222562	1	1	1	0.451592869587271	0	0.306181252976827	0.862898217396818	0.366032903760935	7	original_baseline	3
