replicate	module	jaccard
1	black	0.207070707070707
1	blue	0.0364741641337386
1	brown	0.238888888888889
1	green	0.785714285714286
1	greenyellow	0.707317073170732
1	magenta	0.327586206896552
1	pink	0.387096774193548
1	purple	0
1	red	0.326315789473684
1	turquoise	0.306666666666667
1	yellow	0.378723404255319
2	black	0.1875
2	blue	0.531746031746032
2	brown	0.375
2	green	0.446428571428571
2	greenyellow	0.1171875
2	magenta	0.409836065573771
2	pink	0.00892857142857143
2	purple	0.276595744680851
2	red	0.520408163265306
2	turquoise	0.506437768240343
2	yellow	0.261904761904762
3	black	0.2265625
3	blue	0.616113744075829
3	brown	0.378378378378378
3	green	0.67479674796748
3	greenyellow	0.473684210526316
3	magenta	0.470588235294118
3	pink	0.734375
3	purple	0.195652173913043
3	red	0.408695652173913
3	turquoise	0.407407407407407
3	yellow	0.376923076923077
4	black	0.376068376068376
4	blue	0.0487804878048781
4	brown	0.189054726368159
4	green	0.700854700854701
4	greenyellow	0.142857142857143
4	magenta	0.340909090909091
4	pink	0.463768115942029
4	purple	0.573770491803279
4	red	0.354838709677419
4	turquoise	0.467248908296943
4	yellow	0.427947598253275
5	black	0.301369863013699
5	blue	0.135
5	brown	0.362790697674419
5	green	0.389830508474576
5	greenyellow	0.7
5	magenta	0.170068027210884
5	pink	0.626865671641791
5	purple	0.51219512195122
5	red	0.68421052631579
5	turquoise	0.55607476635514
5	yellow	0.398104265402844
6	black	0.0638977635782748
6	blue	0.389776357827476
6	brown	0.282229965156794
6	green	0.398305084745763
6	greenyellow	0.527777777777778
6	magenta	0.328358208955224
6	pink	0
6	purple	0
6	red	0.355555555555556
6	turquoise	0.294117647058824
6	yellow	0.302180685358255
7	black	0.21
7	blue	0.0920634920634921
7	brown	0.17351598173516
7	green	0.522935779816514
7	greenyellow	0.605263157894737
7	magenta	0.216666666666667
7	pink	0.327586206896552
7	purple	0.285714285714286
7	red	0.446808510638298
7	turquoise	0.42741935483871
7	yellow	0.347826086956522
8	black	0.207407407407407
8	blue	0.460580912863071
8	brown	0.352657004830918
8	green	0.697478991596639
8	greenyellow	0.104477611940299
8	magenta	0.160583941605839
8	pink	0
8	purple	0.432432432432432
8	red	0.293577981651376
8	turquoise	0.519417475728155
8	yellow	0.209386281588448
9	black	0.246231155778895
9	blue	0.49748743718593
9	brown	0.379591836734694
9	green	0.452991452991453
9	greenyellow	0.685714285714286
9	magenta	0.148148148148148
9	pink	0
9	purple	0.478260869565217
9	red	0.585585585585586
9	turquoise	0.396984924623116
9	yellow	0.363636363636364
10	black	0.285714285714286
10	blue	0.329896907216495
10	brown	0.252427184466019
10	green	0.719298245614035
10	greenyellow	0.681818181818182
10	magenta	0.330097087378641
10	pink	0.370967741935484
10	purple	0.0588235294117647
10	red	0.398148148148148
10	turquoise	0.305555555555556
10	yellow	0.228260869565217
11	black	0.2
11	blue	0.644144144144144
11	brown	0.246252676659529
11	green	0.368421052631579
11	greenyellow	0.564102564102564
11	magenta	0.51063829787234
11	pink	0.716666666666667
11	purple	0.410714285714286
11	red	0.465346534653465
11	turquoise	0.395881006864989
11	yellow	0.317919075144509
12	black	0.255924170616114
12	blue	0.417112299465241
12	brown	0.402010050251256
12	green	0.447368421052632
12	greenyellow	0.558139534883721
12	magenta	0.5625
12	pink	0.714285714285714
12	purple	0.634146341463415
12	red	0.672413793103448
12	turquoise	0.432038834951456
12	yellow	0.33
13	black	0.0780487804878049
13	blue	0.425339366515837
13	brown	0.398467432950192
13	green	0.165137614678899
13	greenyellow	0.1256038647343
13	magenta	0.573770491803279
13	pink	0
13	purple	0.325581395348837
13	red	0.0380952380952381
13	turquoise	0.445378151260504
13	yellow	0.381188118811881
14	black	0.286458333333333
14	blue	0.551111111111111
14	brown	0.160377358490566
14	green	0.572649572649573
14	greenyellow	0.266666666666667
14	magenta	0.217948717948718
14	pink	0.736111111111111
14	purple	0.0253164556962025
14	red	0.371134020618557
14	turquoise	0.354948805460751
14	yellow	0.277580071174377
15	black	0.342105263157895
15	blue	0.068421052631579
15	brown	0.392156862745098
15	green	0.518518518518519
15	greenyellow	0.106122448979592
15	magenta	0.239130434782609
15	pink	0.578125
15	purple	0.233766233766234
15	red	0.336363636363636
15	turquoise	0.522968197879859
15	yellow	0.214285714285714
16	black	0.388157894736842
16	blue	0.611940298507463
16	brown	0.352657004830918
16	green	0.442477876106195
16	greenyellow	0.147286821705426
16	magenta	0.607142857142857
16	pink	0.430379746835443
16	purple	0.547619047619048
16	red	0.584905660377359
16	turquoise	0.445945945945946
16	yellow	0.390625
17	black	0.227941176470588
17	blue	0.381481481481482
17	brown	0.239234449760766
17	green	0.564102564102564
17	greenyellow	0.46551724137931
17	magenta	0.289719626168224
17	pink	0.00390625
17	purple	0.26530612244898
17	red	0.525252525252525
17	turquoise	0.293532338308458
17	yellow	0.263665594855305
18	black	0.28448275862069
18	blue	0.433155080213904
18	brown	0.263157894736842
18	green	0.607142857142857
