variant	setting_id	power	deepSplit	mergeCutHeight	minModuleSize	non_grey_modules	grey_pct	mean_ref_best_jaccard	median_ref_best_jaccard	min_ref_best_jaccard	grey_delta_pct	same_grey_fraction	bio_pres_strong	bio_pres_moderate	mean_concordance_pearson	mean_concordance_spearman	mean_concordance_rmse	cor_PC1_log_total	cor_PC2_log_total	cor_PC3_log_total	drastic_change
current_taxon_centered_log	exp3	12	3	0.25	20	8	28.6588759042849	1	1	1	0	1	6	2	0.910140685987339	0.725710927800821	0.0782906331610261	-0.893685515232153	0.195092395158464	-0.127819060132685	FALSE
deseq_length_log	exp3	12	3	0.25	20	10	37.6182526432944	0.632781653427731	0.587284144427002	0.52755905511811	8.95937673900946	0.891485809682805	6	4	0.893482377289901	0.715375434042631	0.0871572746810076	-0.876510878328898	0.197634506322943	0.118345268543665	FALSE
log_depth_residualized	exp3	12	3	0.25	20	17	40.4563160823595	0.487703587537785	0.487173405342286	0.0888429752066116	11.7974401780746	0.699499165275459	3	14	0.787267995236257	0.778083558355836	0.13768278406898	-1.13363098481356e-13	1.14997098931665e-13	1.04422727532694e-13	TRUE
sample_clr_raw	exp3	12	3	0.25	20	19	24.9304396215915	0.425221569349572	0.43303891143471	0.173728813559322	-3.72843628269338	0.617696160267112	7	11	0.867091136874284	0.831217788445511	0.136943319632245	0.769016800544585	0.393876847764629	-0.0550941219429433	TRUE
current_taxon_centered_log	exp4	12	3	0.2	20	9	28.6588759042849	1	1	1	0	1	7	2	0.906697317470389	0.73875374800417	0.0848220068293086	-0.893685515232153	0.195092395158464	-0.127819060132685	FALSE
deseq_length_log	exp4	12	3	0.2	20	14	37.6182526432944	0.50794981498264	0.528455284552846	0.182890855457227	8.95937673900946	0.891485809682805	7	7	0.880021735429155	0.746330659617127	0.100535993813702	-0.876510878328898	0.197634506322943	0.118345268543665	TRUE
log_depth_residualized	exp4	12	3	0.2	20	17	40.4563160823595	0.457517169759809	0.395161290322581	0.14453125	11.7974401780746	0.699499165275459	3	14	0.787267995236257	0.778083558355836	0.13768278406898	-1.13363098481356e-13	1.14997098931665e-13	1.04422727532694e-13	TRUE
sample_clr_raw	exp4	12	3	0.2	20	19	24.9304396215915	0.448868237944671	0.457627118644068	0.173728813559322	-3.72843628269338	0.617696160267112	7	11	0.867091136874284	0.831217788445511	0.136943319632245	0.769016800544585	0.393876847764629	-0.0550941219429433	TRUE
current_taxon_centered_log	opt5	12	1	0.2	20	5	34.0567612687813	1	1	1	0	1	5	0	0.912292651148723	0.726151815181518	0.0916926594697236	-0.893685515232153	0.195092395158464	-0.127819060132685	FALSE
deseq_length_log	opt5	12	1	0.2	20	7	43.0161380077908	0.534008573868749	0.559322033898305	0.172727272727273	8.95937673900946	0.89259877573734	6	1	0.892174566461946	0.761598168370556	0.100217546955008	-0.876510878328898	0.197634506322943	0.118345268543665	TRUE
log_depth_residualized	opt5	12	1	0.2	20	10	46.7445742904842	0.496288371505442	0.540372670807454	0.169184290030212	12.6878130217028	0.691708402893712	3	7	0.746479992958549	0.769033303330333	0.140757875150068	-1.13363098481356e-13	1.14997098931665e-13	1.04422727532694e-13	TRUE
sample_clr_raw	opt5	12	1	0.2	20	8	39.5102949360045	0.497026316763159	0.502923976608187	0.302197802197802	5.45353366722315	0.560378408458542	6	2	0.906527284665103	0.859266426642664	0.133350417455929	0.769016800544585	0.393876847764629	-0.0550941219429433	TRUE
