metric	value_baseline	value_sensitivity	delta_sensitivity_minus_baseline
n_taxa_main	1797.0	1597.0	-200.0
n_modules_non_grey	5.0	5.0	0.0
hmm_states_main	5.0	5.0	0.0
r1_r2_state_pct_match	92.3076923076923	96.1538461538462	3.8461538461538964
xrf_significant_n	18.0	18.0	0.0
loco_stable_n	10.0	11.0	1.0
tea_module_enrichment_calls_n	24.0	22.0	-2.0
